city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Angels Camp,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,62.27,11.81,11.75,10,3.5,7.52,3.65,3.06,1.94,9.04,0,0.34,0.59,2.93,0.08,0.56,0.73,0.07,0.11,0.37,0,3881,0.002,1030906,352439,5025811,8520155,-0.03,1169285,3412341,1239164,1192416,1169285,2604839,2851954,3024334,4760511,0,14158940,19319054,609893,928674.69,3192287,2017,Calaveras,95222-0667,Angels,35949,31364,8537,14440,1489,150,520,100,143,270,5715,90000
Antioch,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,72.67,24.87,15,10,2.88,4.48,3.45,2.78,0.83,7.68,0.7,0.63,0.14,6.93,0.03,0.94,0.69,0.08,0.15,0.54,0.14,111494,0.048,29032274,4191471,15458012,108054259,0.34,30795315,48524352,17140539,22679966,30795315,50604405,57146681,52854264,101728332,0,244892465,353426968,9183448,16016579.88,58121753,2017,Contra Costa,94531-5007,Antioch,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
Apple Valley,Moderate,HIGH,LOW,HIGH,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,52.56,1.9,15,0.85,2.88,10,3.6,4.44,3.89,10,0,0.06,0.17,0.17,0.03,0.19,0.72,0.02,0.04,0.02,0,72871,0.056,220933,1298466,10993572,65621346,-0.46,1766647,28291172,8190121,6683436,1766647,22336034,23081714,23743085,12162986,0,33156095,46344050,1331946,2305496.92,1149046,2017,San Bernardino,92307,Apple Valley,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Arcadia,Moderate,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,59.57,16.44,14.41,10,2.75,0,3.2,2.22,0,10,0.55,0.49,0.27,11.88,0.02,1.6,0.64,0.1,0.23,0.21,0.11,58374,0.036,28552600,2403517,22869811,83311046,-0.09,30338575,61320613,36069644,31155339,30338575,57292988,59396995,59042619,133656038,0,251521301,392917518,8733410,19378830.04,17516379,2017,Los Angeles,91066-6021,Arcadia,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Arcata,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,76.39,21.49,15,10,2.88,6.88,3.75,4.17,2.22,10,0,0.55,0.13,2.98,0.03,0.64,0.75,0.03,0.1,0.15,0,18148,0.064,8022669,2694211,4272785,32329567,0.19,7363248,13374255,5249341,6092009,7363248,13927336,14758393,14630461,18076367,2711000,58452864,78340346,1048942,3125867.31,4902166,2017,Humboldt,95521,Arcata,103224,85183,39744,20335,2797,1339,1045,420,425,518,18560,80300
Arroyo Grande,Moderate,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,70.75,17.99,15,10,2.88,6.88,3.55,2.78,1.67,10,0,0.49,0.09,7.91,0.03,0.64,0.71,0.08,0.12,0.21,0,18057,0.031,7633922,964830,2400333,27076645,0.07,8313896,17032982,7573931,6592162,8313896,15417718,16041132,16292036,17220056,0,55684524,78282821,2191573,3367968.96,5590000,2017,San Luis Obispo,93420,Arroyo Grande,206297,183746,68853,64199,6330,932,2201,509,794,1549,38379,109200
Artesia,Low,LOW,LOW,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,HIGH,91.02,30,15,10,5,10,3.85,4.72,3.89,8.56,0,0.8,0.03,9.31,0.38,0.14,0.77,0.01,0.04,0.43,0,16808,0.039,6161813,661496,425994,13196433,0.48,NA,NA,6063675,8995240,NA,7606933,10496402,NA,1900640,0,10409670,13433661,102746,512091.47,5696832,2017,Los Angeles,90701,Artesia,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Arvin,Moderate,HIGH,MODERATE,HIGH,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,50.8,0,11,0,2.75,10,4,4.44,3.61,10,5,-0.05,0.68,0,0.02,0.14,0.8,0.02,0.05,NA,NA,21124,0.087,0,3276978,9709359,14245288,-2.02,-338038,7395347,94003,-255875,-338038,5478035,5386927,5727803,2033469,0,9525790,11957483,272728,654672.44,NA,2017,Kern,93203,Arvin,534022,425839,145595,157265,15674,1130,4539,2303,3902,1280,94151,80300
Atascadero,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,64.5,16.8,11.83,10,3.5,5.44,3.6,2.5,0.83,10,0,0.43,0.58,5.22,0.08,0.82,0.72,0.09,0.15,0.01,0,30316,0.033,8796571,1685846,16775414,28754125,0.18,9895669,22838188,7389918,10100896,9895669,19207542,21890771,22097886,23558492,0,67583314,93314182,2489485,4388365.05,186100,2017,San Luis Obispo,93422,Atascadero,206297,183746,68853,64199,6330,932,2201,509,794,1549,38379,109200
Atherton,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,85.05,30,15,10,2.88,6.64,3.7,3.33,1.94,9.36,2.2,0.81,0.03,4.52,0.03,0.67,0.74,0.06,0.11,0.33,0.44,7215,0.03,16438256,3633445,692342,20746120,-0.03,13006525,15972675,13670955,13305842,13006525,14489066,14108498,15301758,13981508,0,43838628,59576977,1154670,2330775.74,6749933,2017,San Mateo,94027,Atherton,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Atwater,High,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,LOW,MODERATE,LOW,HIGH,29.67,0,0,1.1,2.88,6.64,3.3,3.89,2.5,9.36,0,-0.19,2.07,0.22,0.03,0.67,0.66,0.04,0.09,0.33,0,29270,0.088,1011220,4563862,78033998,37690409,0.19,-2388471,12756473,-3629911,-2862725,-2388471,11302833,11754202,11881186,25370399,0,49606988,75200057,1645317,3457423.82,12559788,2017,Merced,95301,Atwater,161916,117174,50327,33523,4176,366,1068,670,154,342,26548,80300
