city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Costa Mesa,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,53.5,13.91,13.66,10,2.63,0,3.15,1.11,0,9.04,0,0.41,0.36,8.82,0.01,2.09,0.63,0.14,0.26,0.37,0,113302,0.027,45076458,5110675,52487533,145141286,-0.08,53185562,131234700,61986376,60811286,53185562,122002181,121469035,124030214,303273871,0,493483626,789155895,20052791,37647371.14,53432728,2018,Orange,92626,Costa Mesa,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Cotati,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,LOW,HIGH,82.28,30,13.99,10,2.75,6.48,3.5,3.06,2.5,10,0,0.92,0.32,13.97,0.02,0.69,0.7,0.07,0.09,0.02,0,7584,0.03,5191720,371502,4985415,15404661,0.21,5686944,6199893,3918034,4527879,5686944,6957325,6961261,7188323,10577410,0,23907369,34051404,1153203,1340993.87,289755,2018,Sonoma,94931,Cotati,340306,300840,168614,54084,8324,2088,2996,930,1763,1385,60656,112800
Covina,Moderate,HIGH,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,51.17,5.31,10.75,8.55,3.25,4.64,3.6,3.61,1.11,10,0.35,0.14,0.71,1.71,0.06,0.92,0.72,0.05,0.14,0.1,0.07,47820,0.049,4967621,2903656,45207490,63314449,0.12,5270236,36392605,5808211,3099344,5270236,34659718,33140919,38364088,58104710,0,153673439,212400014,3393655,8949891.56,6074022,2018,Los Angeles,91723-2199,Covina,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Crescent City,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,55.74,13.95,0,10,3,7.6,3.6,3.61,2.78,10,1.2,0.38,2.16,2.43,0.04,0.55,0.72,0.05,0.08,0.06,0.24,6805,0.047,2088167,860454,40675663,18791627,0.07,2012926,5359774,1782272,2055859,2012926,4921753,5020830,5327861,10325662,0,25771225,35846648,948296,1476250.55,1154528,2018,Del Norte,95531,Crescent City,18366,15904,4747,6263,792,100,206,90,10,63,3633,80300
Cudahy,Moderate,HIGH,LOW,MODERATE,LOW,LOW,MODERATE,LOW,LOW,LOW,HIGH,64.07,6.31,15,7,4,9.6,3.55,4.72,3.89,10,0,0.17,0.05,1.4,0.12,0.3,0.71,0.01,0.04,0.23,0,23755,0.047,2321059,1662266,546284,11844184,0.09,1308571,7834362,1241974,906223,1308571,6667895,7055659,8258918,3539977,0,8340032,11763024,101829,469071.77,2697991,2018,Los Angeles,90201,Cudahy,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Culver City,Moderate,LOW,LOW,LOW,MODERATE,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,65.02,19.76,14.66,10,3.25,1.84,3.3,2.5,0,8.16,1.55,0.55,0.24,10.91,0.06,1.27,0.66,0.09,0.18,0.48,0.31,39059,0.043,60450721,5538419,44333261,184840396,0.03,66499189,121125413,63426373,62579714,66499189,103831355,104550462,115731351,234345914,0,462606274,696376262,17214768,32419806.86,87968000,2018,Los Angeles,90232-0507,Culver City,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Cupertino,Low,LOW,LOW,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,LOW,81.08,20.25,13.66,10,3.25,8.8,3.5,3.61,3.06,10,4.95,0.57,0.36,4.22,0.06,0.4,0.7,0.05,0.07,0,0.99,60004,0.027,63889867,15155735,37244801,103918587,0.01,50790986,89312202,50369085,51695980,50790986,77857048,92812954,85106536,41144402,0,93476845,134356434,4807182,6892496.47,415000,2018,Santa Clara,95014,Cupertino,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Cypress,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,63.9,14.59,15,10,2.63,4.32,3.75,2.78,0.83,10,0,0.43,0.1,7.94,0.01,0.96,0.75,0.08,0.15,0.18,0,48826,0.032,14317302,1803102,4865866,46936015,-0.08,16030834,37113888,18941670,19103087,16030834,32400250,32054266,33158138,45256290,0,134270491,179089438,3710784,6962374.72,8335993,2018,Orange,90630,Cypress,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Daly City,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,LOW,HIGH,61.32,15.05,15,10,2.88,1.6,3.8,2.5,0.28,9.36,0.85,0.41,0.19,5.52,0.03,1.3,0.76,0.09,0.17,0.33,0.17,106869,0.023,41286151,7485790,27623406,142034188,0.07,34636736,84255519,30428218,34793026,34636736,79172396,78976778,84058262,164352104,20520000,491921985,646540115,13131734,24165623.94,47370810,2018,San Mateo,94015,Daly City,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Dana Point,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,80.1,19.39,15,10,3,10,4.1,4.44,4.17,10,0,0.54,0.01,7.34,0.04,0.12,0.82,0.02,0.03,0.03,0,33629,0.028,20924747,2851252,472468,43035248,0.03,21139085,39026027,19897356,20163715,21139085,36459813,36748139,39280270,5236362,0,22523501,27618774,665655,1238947.48,1479785,2018,Orange,92629,Dana Point,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Danville,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,90.63,22.84,14.91,10,2.88,10,5,5,5,10,5,0.65,0.21,4.51,0.03,NA,NA,NA,NA,NA,NA,44683,0.028,22355193,4953674,8194725,38504239,-0.02,18037776,27599075,18719466,17562289,18037776,25643723,25604120,26781154,NA,NA,NA,NA,NA,NA,NA,2018,Contra Costa,94526,Danville,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
Davis,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,58.2,15.21,8.16,10,2.63,4.4,3.3,3.06,1.39,8.4,1.65,0.41,1.02,2.79,0.01,0.95,0.66,0.07,0.13,0.45,0.33,69220,0.027,29785979,10691357,133881950,130690004,0.09,25768877,62116746,21551825,23119561,25768877,62513133,61940135,63405660,123968790,0,244919475,369523819,9096310,16991996.27,58935000,2018,Yolo,95616,Davis,150850,119218,60378,24069,3535,582,1198,477,8,108,28863,106600
Del Mar,Low,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,77.08,18.95,9.41,10,4.38,8.64,3.75,3.89,3.06,10,5,0.48,0.87,3.66,0.15,0.42,0.75,0.04,0.07,NA,NA,4335,0.024,7445427,2032220,24295395,28070879,0.25,8733727,18348197,5722170,7881477,8733727,14656953,16090245,19092457,11919983,0,36052172,47928670,1016988,1967535.24,NA,2018,San Diego,92014,Del Mar,2214746,1950545,782594,538982,66424,6814,20698,7777,9494,8387,509375,106900
Del Rey Oaks,Moderate,MODERATE,HIGH,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,53.04,9.87,0.92,8.55,4.75,8.48,3.8,3.61,3.06,10,0,0.25,1.89,1.71,0.18,0.44,0.76,0.05,0.07,0.07,0,1662,0.07,881136,516647,6698621,3539430,0.97,736519,2980402,202978,298225,736519,2503500,2921096,3466512,1551296,0,4667338,6171809,184174,233291.32,262825,2018,Monterey,93940,Del Rey Oaks,244481,206917,107230,41877,5558,922,1614,908,1941,193,46674,90100
Delano,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,85.11,30,9.41,10,3.5,9.84,3.55,3.89,4.92,10,0,1.18,0.87,28.14,0.08,0.27,0.71,0.04,NA,0.04,0,52921,0.23,24773474,880514,64740608,74445624,0.09,31147794,26387879,25999054,28980680,31147794,22554540,23220819,26262035,20399293,0,49513540,69552182,3060186,NA,2636391,2018,Kern,93216,Delano,534022,425839,145595,157265,15674,1130,4539,2303,3902,1280,94151,80300
Desert Hot Springs,Low,LOW,HIGH,LOW,LOW,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,75.93,25.26,2.33,10,5,7.52,3.6,4.44,2.78,10,5,0.64,1.72,5.37,0.23,0.56,0.72,0.02,0.08,NA,NA,28815,0.058,8849570,1648133,42082052,24480320,0.21,8898679,13802868,6175598,8455432,8898679,9317321,11853727,14000195,11703695,2101541,30308346,41869995,538756,1897684.12,NA,2018,Riverside,92240,Desert Hot Springs,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
Diamond Bar,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,HIGH,90.62,30,14.08,10,2.38,10,4,4.72,3.89,10,1.55,0.92,0.31,7.05,-0.01,0.17,0.8,0.01,0.04,0.02,0.31,56106,0.036,25830783,3661974,10055196,32188929,0,23940147,25934438,23850943,24879854,23940147,24355398,23436386,23861585,5537585,0,21228215,26652612,418739,1171333.97,541295,2018,Los Angeles,91765,Diamond Bar,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Dinuba,Moderate,HIGH,MODERATE,HIGH,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,51.59,3.44,11.25,3.65,3.25,9.68,3.7,4.17,3.33,9.12,0,0.09,0.65,0.73,0.06,0.29,0.74,0.03,0.06,0.36,0,24236,0.133,4807116,6550173,43224142,66614703,0.15,1533739,16734085,1219528,1113239,1533739,14561741,17727474,15943197,19286545,0,53410651,72460208,2289428,3832340.17,23684732,2018,Tulare,93618,Dinuba,267962,199725,65955,76457,7270,534,2005,1002,1755,873,43874,80300
Dixon,Low,LOW,MODERATE,LOW,LOW,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,80.91,30,9.75,10,4.25,7.2,3.6,3.61,2.5,10,0,0.77,0.83,10.38,0.14,0.6,0.72,0.05,0.09,0.1,0,20478,0.04,13285240,1279509,29672509,35718956,0.39,13824258,17990490,7306198,11292148,13824258,15211636,19433514,19486919,21265136,0,54845206,75680775,1928676,3223846.91,3625000,2018,Solano,95620-9990,Dixon,294407,259161,124706,58473,8579,944,2468,1197,1017,1453,60324,108700
Dorris,Low,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,95.13,30,15,10,0.13,10,5,5,5,10,5,1.47,0,4.72,-0.19,NA,NA,NA,NA,NA,NA,898,NA,462591,97904,5800,1923965,-0.01,472414,320311,481097,484195,472414,475389,480742,290885,NA,NA,NA,NA,NA,NA,NA,2018,Siskiyou,96023,Dorris,34368,29240,8856,11913,1424,168,397,143,186,65,6088,80300
Dos Palos,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,90.32,30,15,10,3,7.36,3.85,3.61,2.5,10,5,0.9,0.05,18.98,0.04,0.58,0.77,0.05,0.09,NA,NA,5502,0.063,950353,50072,233785,5123653,0.37,1150805,1284979,618620,799234,1150805,1477640,1553616,1586552,2949546,0,9985316,12889130,274479,478812.21,NA,2018,Merced,93620,Dos Palos,161916,117174,50327,33523,4176,366,1068,670,154,342,26548,80300
Downey,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,50.21,9.06,10.25,10,3.13,0.08,3.45,1.94,0,10,2.3,0.27,0.77,4.95,0.05,1.49,0.69,0.11,0.19,0.06,0.46,111915,0.044,19810275,4004967,104990046,136748995,-0.09,25552833,93563355,30665587,26647301,25552833,81145542,82289261,88896783,186480929,16976259,413588527,601459551,14871828,25744409.67,7847903,2018,Los Angeles,90241,Downey,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Duarte,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,70.23,13.05,15,10,3.75,6.32,3.6,4.44,2.22,10,1.85,0.38,0.1,2.84,0.1,0.71,0.72,0.02,0.1,0.24,0.37,21454,0.056,5575930,1961284,1937287,19864926,-0.06,6507377,17200238,8467818,4990461,6507377,14574808,14479539,17406626,14098986,0,34314352,47816640,421885,1927843.76,4755416,2018,Los Angeles,91010,Duarte,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Dublin,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,96.19,30,15,10,3.13,10,3.9,4.72,4.44,10,5,1.96,0.07,9.84,0.05,0.11,0.78,0.01,0.02,0,1,63423,0.027,129778090,13187380,9666278,135638415,0.14,140167275,71634005,107875143,120454784,140167275,82928041,83945628,91220858,14398145,0,49188175,63226319,1018096,2834031.8,NA,2018,Alameda,94568,Dublin,1092044,966809,574959,106702,19331,5249,5745,3543,91,5521,245668,142800
Dunsmuir,Moderate,MODERATE,MODERATE,MODERATE,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,69.28,11.05,10.66,6.65,4,9.84,3.75,4.44,3.89,10,5,0.28,0.72,1.33,0.12,0.27,0.75,0.02,0.04,NA,NA,1568,0.042,280481,211081,3209853,4438977,0.32,380576,1336368,227167,242444,380576,1179789,1402643,1474498,1219218,0,3543792,4754646,80035,197148.36,NA,2018,Siskiyou,96025,Dunsmuir,34368,29240,8856,11913,1424,168,397,143,186,65,6088,80300
East Palo Alto,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,94.6,30,15,10,3.63,10,3.75,3.89,3.33,10,5,1.2,0.12,12.16,0.09,0.24,0.75,0.04,0.06,NA,NA,29486,0.028,26777732,2201322,5543646,44934308,0.26,26078334,21766493,16677311,18424236,26078334,24628405,23735283,29068690,10853587,0,32149523,42791808,1642560,2581354.47,NA,2018,San Mateo,94303,East Palo Alto,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Eastvale,Low,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,99.38,30,15,10,4.63,10,4.75,5,5,10,5,1.54,0,8.93,0.17,0,0.95,0,0,0,1.02,63815,0.032,38708108,4332967,49022,41003097,0.29,30934729,20085821,18748516,21715083,30934729,21668559,22532636,28955164,35121,0,572332,601844,56387,116678.25,NA,2018,Riverside,91752,Eastvale,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
El Cajon,Low,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,73.17,28.14,14.49,10,2.75,0,3.25,1.39,0,10,3.15,0.72,0.26,14.95,0.02,1.81,0.65,0.13,0.22,0.02,0.63,103041,0.037,43195661,2890035,27564532,104761833,0.18,48792571,68083485,35646345,39162325,48792571,72121594,69151418,74489689,190031165,0,358793914,549100127,13206060,23006339.08,2023551,2018,San Diego,92020,El Cajon,2214746,1950545,782594,538982,66424,6814,20698,7777,9494,8387,509375,106900
El Centro,Low,LOW,MODERATE,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,84.35,26.25,8.75,10,4.25,8.64,3.4,3.89,4.17,10,5,0.7,0.95,5.77,0.14,0.42,0.68,0.04,0.03,-0.01,1.22,44089,0.142,20665217,3582076,209927985,221739749,0.1,21027649,30219296,17568461,18241276,21027649,24955739,26251619,32084395,94101603,0,200912761,293401489,8446157,6975650.06,NA,2018,Imperial,92243,El Centro,99790,84676,40381,17017,2201,229,566,633,903,366,22380,80300
El Cerrito,High,HIGH,MODERATE,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,34.08,0,12.33,2.1,3.38,1.2,3.4,1.67,0,10,0,-0.06,0.52,0.42,0.07,1.35,0.68,0.12,0.21,0.06,0,25607,0.026,3419338,8159439,24015248,45919588,-6.05,-2233507,36569654,1713302,-186227,-2233507,31471869,34476441,35783921,61775131,0,130832450,192689091,5707962,9474973.29,2845887,2018,Contra Costa,94530,El Cerrito,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
El Monte,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,42.66,9.28,12.25,10,2.88,0.16,3.65,0.28,0.56,3.6,0,0.28,0.53,2.3,0.03,1.48,0.73,0.17,0.16,1.05,0,115308,0.046,21163041,9219970,55793676,105760451,-0.12,19665898,70873602,25607026,23513916,19665898,59885733,59605939,63266449,156790205,0,374930604,514374695,18443224,16793294.19,110968969,2018,Los Angeles,91731,El Monte,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
El Segundo,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,LOW,HIGH,LOW,HIGH,63.16,14.55,14.74,10,3.5,2.08,3.25,3.61,0.56,9.12,1.75,0.38,0.23,5.8,0.08,1.24,0.65,0.05,0.16,0.36,0.35,16663,0.054,25050707,4317191,25774970,113117444,0.14,26642651,71002974,20927056,21269426,26642651,65188304,71701660,75913284,140278839,0,263866932,404145780,5545641,17718013.16,41081886,2018,Los Angeles,90245,El Segundo,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Elk Grove,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,MODERATE,82.18,18,14.74,10,3.13,10,4.4,4.17,3.89,10,3.85,0.48,0.23,9.18,0.05,0.1,0.88,0.03,0.04,0.01,0.77,172603,0.033,29688046,3232241,37381598,160535427,0.11,34575709,72612186,27941045,30805599,34575709,60606681,61880063,66168787,16537686,0,103238228,117228186,4283503,6208090.48,1816069,2018,Sacramento,95758,Elk Grove,1028719,884247,398079,228045,30487,3514,10120,5274,4942,3154,200632,102200
Emeryville,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,87.3,30,15,10,2.88,6.88,3.8,3.61,3.33,10,1.8,0.85,0.15,6.81,0.03,0.64,0.76,0.05,0.06,0.06,0.36,12109,0.022,42015402,6172749,10002157,68561440,0,38435918,44978326,38294498,40288031,38435918,42794185,40302625,45265934,44124875,0,89122144,117643361,3172222,4371284.04,4440807,2018,Alameda,94608-3517,Emeryville,1092044,966809,574959,106702,19331,5249,5745,3543,91,5521,245668,142800
Encinitas,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,66.7,12.7,11.08,10,3,8,3.85,3.61,3.06,10,1.4,0.37,0.67,2.94,0.04,0.5,0.77,0.05,0.07,0.08,0.28,62750,0.027,33688042,11454224,75647923,112730366,-0.06,27026004,73795389,31775120,23452126,27026004,68741083,69421860,73848258,56111274,0,154154905,200667636,5707848,7969065.11,9460796,2018,San Diego,92024-3633,Encinitas,2214746,1950545,782594,538982,66424,6814,20698,7777,9494,8387,509375,106900
Escalon,Low,LOW,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,MODERATE,LOW,LOW,88.01,30,12.99,10,3.88,7.36,3.5,2.22,3.06,10,5,0.83,0.44,8.99,0.11,0.58,0.7,0.1,0.07,NA,NA,7566,0.033,3389661,376948,4258005,9737289,0.13,3261292,3935823,2587959,3099827,3261292,3329107,3574622,4097898,5646735,0,13174509,18692745,937204,707735.9,NA,2018,San Joaquin,95320,Escalon,466484,366394,158590,105540,11974,1019,3414,2001,3352,1597,78907,85000
Escondido,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,MODERATE,HIGH,LOW,LOW,55.17,8.07,8.75,10,3,3.52,3.5,2.5,0.83,10,5,0.22,0.95,3.99,0.04,1.06,0.7,0.09,0.15,NA,NA,151793,0.032,19660044,4932883,225895819,237617478,0.06,21994712,101669305,19794792,21175350,21994712,90719285,91880900,98173842,251924841,0,579747208,822987373,22456924,36037140.77,NA,2018,San Diego,92025,Escondido,2214746,1950545,782594,538982,66424,6814,20698,7777,9494,8387,509375,106900
Etna,Low,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,76.34,15.1,14.66,10,4.38,10,4.15,4.44,3.61,10,0,0.43,0.24,3.44,0.15,0.18,0.83,0.02,0.05,0.08,0,717,NA,336400,97911,394615,1666863,-0.02,419329,978003,448223,366507,419329,659296,825299,864942,305677,0,1417957,1715161,38523,80229.41,138445,2018,Siskiyou,96027,Etna,34368,29240,8856,11913,1424,168,397,143,186,65,6088,80300
Eureka,Moderate,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,LOW,54.56,6.71,11.66,5.75,2.63,4.56,3.25,3.06,1.94,10,5,0.17,0.6,1.15,0.01,0.93,0.65,0.07,0.11,NA,NA,26968,0.035,4414094,3849388,37515279,62160467,0.2,5459419,31703489,3901949,5496656,5459419,31186318,31657193,31640271,57792623,0,108021507,165301112,4514818,6779783.69,NA,2018,Humboldt,95501,Eureka,103224,85183,39744,20335,2797,1339,1045,420,425,518,18560,80300
Exeter,Moderate,HIGH,MODERATE,HIGH,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,46.68,0.94,8.66,0,3.63,8.16,3.9,3.61,2.78,10,5,0.03,0.96,0,0.09,0.48,0.78,0.05,0.08,NA,NA,10508,0.097,0,970030,10410167,10896305,-0.41,174662,5387825,527660,380045,174662,4319685,4462829,5105105,5265163,0,17038846,21931629,586271,884267.43,NA,2018,Tulare,93221,Exeter,267962,199725,65955,76457,7270,534,2005,1002,1755,873,43874,80300
Fairfax,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,MODERATE,LOW,HIGH,72.74,18.55,11.91,10,3.5,6.16,4.25,3.89,2.78,10,1.7,0.47,0.57,9.96,0.08,0.73,0.85,0.04,0.08,0.13,0.34,7560,0.022,3543658,355617,6898802,12113755,0.27,4196952,9013898,2652478,3039316,4196952,7834243,8216849,9116508,5318211,3493000,28810293,33722356,449322,979124.65,1524756,2018,Marin,94930,Fairfax,180089,175192,105707,23248,4240,1023,1261,333,528,614,38238,166000
Fairfield,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,57.96,10.17,11.83,10,2.88,4.48,3.6,3.33,1.67,10,0,0.28,0.58,8.54,0.03,0.94,0.72,0.06,0.12,0.01,0,116678,0.037,20005735,2343663,126984906,220806795,0.04,27540380,98947364,25294235,25645036,27540380,94903721,94344250,100586928,175703068,31871329,451283326,630633231,13512677,26465669.9,3153300,2018,Solano,94533-4883,Fairfield,294407,259161,124706,58473,8579,944,2468,1197,1017,1453,60324,108700
Farmersville,Low,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,93.43,26.79,15,10,3.88,10,4.15,4.44,4.17,10,5,0.73,0.17,12.79,0.11,0.12,0.83,0.02,0.03,NA,NA,10729,0.119,1477079,115473,1980178,11414240,0.06,2343135,3231267,2117787,2036389,2343135,2892559,3012839,3527041,1394031,0,6181413,7489496,282522,384041.29,NA,2018,Tulare,93223,Farmersville,267962,199725,65955,76457,7270,534,2005,1002,1755,873,43874,80300
Ferndale,Low,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,75.14,22.26,0,10,2.88,10,5,5,5,10,5,0.6,2.33,12.74,0.03,NA,NA,NA,NA,NA,NA,1363,0.015,433370,34012,4525593,1938289,0.09,551388,917238,471632,480642,551388,926816,936880,987984,NA,NA,NA,NA,NA,NA,NA,2018,Humboldt,95536,Ferndale,103224,85183,39744,20335,2797,1339,1045,420,425,518,18560,80300
Fillmore,Low,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,74.57,30,0,10,3,9.76,3.75,4.17,3.89,10,0,0.83,2.56,3.02,0.04,0.28,0.75,0.03,0.04,0.04,0,15742,0.033,5622449,1863837,57388537,22391900,0.04,6377389,7692619,5971453,6008707,6377389,7011139,6766481,7452139,6283886,0,18418446,24467402,592572,872335.13,984828,2018,Ventura,93015,Fillmore,537055,500442,212552,145457,14981,1721,4765,1757,3939,4984,110286,115400
Firebaugh,Low,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,85.15,30,10.41,10,5,9.2,3.8,3.89,3.33,9.52,0,0.96,0.75,4.55,0.25,0.35,0.76,0.04,0.06,0.31,0,8315,0.127,4795324,1052988,8402733,11188513,0.53,2958271,3066637,1264831,1940441,2958271,3403613,3763662,5230212,3913188,0,12131582,15955466,435257,668628.45,3458648,2018,Fresno,93622,Firebaugh,605256,496482,195697,161696,16558,1462,4252,2542,2304,4197,107774,80300
Folsom,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,48.17,8.29,8,10,3.13,4.8,3.25,2.5,1.39,6.56,0.25,0.21,1.04,2.27,0.05,0.9,0.65,0.09,0.13,0.68,0.05,78842,0.028,16399598,7213790,158799534,152358337,0.21,17568624,85284054,12184346,16738227,17568624,71264434,76561301,78183863,137795425,0,270953661,417324465,13106496,19914655.26,103465277,2018,Sacramento,95630,Folsom,1028719,884247,398079,228045,30487,3514,10120,5274,4942,3154,200632,102200
Fontana,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,LOW,MODERATE,LOW,HIGH,79.03,25.22,14.08,10,3.13,7.28,3.45,3.61,2.5,9.76,0,0.71,0.31,9.82,0.05,0.59,0.69,0.05,0.09,0.28,0,213202,0.039,50772731,5168520,77110238,249519990,0,85429773,120334663,85799903,83982754,85429773,99518272,98103407,108970832,146180506,0,319734313,465500958,13144413,23297050.44,70107961,2018,San Bernardino,92335,Fontana,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Fort Bragg,Moderate,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,68.75,9.47,14.91,10,2.63,8.64,3.7,4.17,3.33,10,1.9,0.3,0.21,3.02,0.01,0.42,0.74,0.03,0.06,0.14,0.38,7347,0.04,1697469,561893,5004436,23616465,-0.25,2865173,9542073,5322440,3102920,2865173,9113664,8210732,9195822,9260794,755835,26616947,35804624,728681,1454580.97,3391042,2018,Mendocino,95437,Fort Bragg,63021,53697,26286,11242,1945,803,648,294,362,107,12010,80300
