city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Dinuba,Tulare,93618,Moderate,51.59,0.6045185610298884,0.4399,0.36810000000000004,244,0.09,0.65,0.73,0.06,0.29,0.74,0.03,0.06,0.36,0,4807116,6550173,43224142,66614703,0.15,1533739,16734085,1219528,1113239,1533739,14561741,17727474,15943197,19286545,0,53410651,72460208,2289428,3832340.17,23684732,0.133,0.109,31.182634765411162,429283,28708,3686,188438,33537,29.6,0.5007971884689232,5.683896171057322e-4,FALSE,FALSE
Dixon,Solano,95620,Low,80.91,0.6956945732923293,0.594,0.5109,214,0.77,0.83,10.38,0.14,0.6,0.72,0.05,0.09,0.1,0,13285240,1279509,29672509,35718956,0.39,13824258,17990490,7306198,11292148,13824258,15211636,19433514,19486919,21265136,0,54845206,75680775,1928676,3223846.91,3625000,0.242,0.069,45.98817522960007,408972,38030,6022,178995,46543,36.9,0.4988459975226446,5.232632062830708e-4,FALSE,FALSE
Dorris,Siskiyou,96023,Low,95.13,0.7847023827055046,0.6397999999999999,0.6133,72,1.47,0,4.72,-0.19,NA,NA,NA,NA,NA,NA,462591,97904,5800,1923965,-0.01,472414,320311,481097,484195,472414,475389,480742,290885,NA,NA,NA,NA,NA,NA,NA,0.231,0.102,32.44723090665476,44780,31784,6697,22084,32841,47,0.4987750556792873,0.00160786065207682,NA,FALSE
Dos Palos,Merced,93620,Low,90.32,0.6923899026027232,0.46090000000000003,0.4029,118,0.9,0.05,18.98,0.04,0.58,0.77,0.05,0.09,NA,NA,950353,50072,233785,5123653,0.37,1150805,1284979,618620,799234,1150805,1477640,1553616,1586552,2949546,0,9985316,12889130,274479,478812.21,NA,0.125,0.127,29.541949724193536,250538,26936,3459,90756,35639,29.6,0.5032858600509005,4.709864371871732e-4,FALSE,FALSE
Downey,Los Angeles,90241,Moderate,50.21,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.27,0.77,4.95,0.05,1.49,0.69,0.11,0.19,0.06,0.46,19810275,4004967,104990046,136748995,-0.09,25552833,93563355,30665587,26647301,25552833,81145542,82289261,88896783,186480929,16976259,413588527,601459551,14871828,25744409.67,7847903,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Duarte,Los Angeles,91010,Moderate,70.23,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.38,0.1,2.84,0.1,0.71,0.72,0.02,0.1,0.24,0.37,5575930,1961284,1937287,19864926,-0.06,6507377,17200238,8467818,4990461,6507377,14574808,14479539,17406626,14098986,0,34314352,47816640,421885,1927843.76,4755416,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Dublin,Alameda,94568,Low,96.19,0.8130188885559002,0.6364,0.4833,1041,1.96,0.07,9.84,0.05,0.11,0.78,0.01,0.02,0,1,129778090,13187380,9666278,135638415,0.14,140167275,71634005,107875143,120454784,140167275,82928041,83945628,91220858,14398145,0,49188175,63226319,1018096,2834031.8,NA,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Dunsmuir,Siskiyou,96025,Moderate,69.28,0.7847023827055046,0.6397999999999999,0.6133,72,0.28,0.72,1.33,0.12,0.27,0.75,0.02,0.04,NA,NA,280481,211081,3209853,4438977,0.32,380576,1336368,227167,242444,380576,1179789,1402643,1474498,1219218,0,3543792,4754646,80035,197148.36,NA,0.231,0.102,32.44723090665476,44780,31784,6697,22084,32841,47,0.4987750556792873,0.00160786065207682,FALSE,FALSE
East Palo Alto,San Mateo,94303,Low,94.6,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.2,0.12,12.16,0.09,0.24,0.75,0.04,0.06,NA,NA,26777732,2201322,5543646,44934308,0.26,26078334,21766493,16677311,18424236,26078334,24628405,23735283,29068690,10853587,0,32149523,42791808,1642560,2581354.47,NA,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Eastvale,Riverside,91752,Low,99.38,0.6519685051631071,0.5115,0.4153,1403,1.54,0,8.93,0.17,0,0.95,0,0,0,1.02,38708108,4332967,49022,41003097,0.29,30934729,20085821,18748516,21715083,30934729,21668559,22532636,28955164,35121,0,572332,601844,56387,116678.25,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,TRUE,FALSE
El Cajon,San Diego,92020,Low,73.17,0.7251714669285065,0.6071,0.46,2328,0.72,0.26,14.95,0.02,1.81,0.65,0.13,0.22,0.02,0.63,43195661,2890035,27564532,104761833,0.18,48792571,68083485,35646345,39162325,48792571,72121594,69151418,74489689,190031165,0,358793914,549100127,13206060,23006339.08,2023551,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
El Centro,Imperial,92243,Low,84.35,0.6502365004640552,0.44530000000000003,0.3225,108,0.7,0.95,5.77,0.14,0.42,0.68,0.04,0.03,-0.01,1.22,20665217,3582076,209927985,221739749,0.1,21027649,30219296,17568461,18241276,21027649,24955739,26251619,32084395,94101603,0,200912761,293401489,8446157,6975650.06,NA,0.132,0.226,42.24373946652215,167917,28182,3104,74053,34148,31.9,0.5136482398239824,6.431749018860508e-4,FALSE,FALSE
El Cerrito,Contra Costa,94530,High,34.08,0.7539949308861223,0.6535,0.4758,854,-0.06,0.52,0.42,0.07,1.35,0.68,0.12,0.21,0.06,0,3419338,8159439,24015248,45919588,-6.05,-2233507,36569654,1713302,-186227,-2233507,31471869,34476441,35783921,61775131,0,130832450,192689091,5707962,9474973.29,2845887,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
El Monte,Los Angeles,91731,Moderate,42.66,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.28,0.53,2.3,0.03,1.48,0.73,0.17,0.16,1.05,0,21163041,9219970,55793676,105760451,-0.12,19665898,70873602,25607026,23513916,19665898,59885733,59605939,63266449,156790205,0,374930604,514374695,18443224,16793294.19,110968969,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
El Segundo,Los Angeles,90245,Moderate,63.16,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.38,0.23,5.8,0.08,1.24,0.65,0.05,0.16,0.36,0.35,25050707,4317191,25774970,113117444,0.14,26642651,71002974,20927056,21269426,26642651,65188304,71701660,75913284,140278839,0,263866932,404145780,5545641,17718013.16,41081886,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Elk Grove,Sacramento,95758,Low,82.18,0.7350143977736597,0.5869,0.44189999999999996,1330,0.48,0.23,9.18,0.05,0.1,0.88,0.03,0.04,0.01,0.77,29688046,3232241,37381598,160535427,0.11,34575709,72612186,27941045,30805599,34575709,60606681,61880063,66168787,16537686,0,103238228,117228186,4283503,6208090.48,1816069,0.27899999999999997,0.07200000000000001,52.519033474417654,1394438,39207,6314,801064,51750,34.8,0.48970882189587167,9.537892685081732e-4,TRUE,FALSE
Emeryville,Alameda,94608,Low,87.3,0.8130188885559002,0.6364,0.4833,1041,0.85,0.15,6.81,0.03,0.64,0.76,0.05,0.06,0.06,0.36,42015402,6172749,10002157,68561440,0,38435918,44978326,38294498,40288031,38435918,42794185,40302625,45265934,44124875,0,89122144,117643361,3172222,4371284.04,4440807,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Encinitas,San Diego,92024,Moderate,66.7,0.7251714669285065,0.6071,0.46,2328,0.37,0.67,2.94,0.04,0.5,0.77,0.05,0.07,0.08,0.28,33688042,11454224,75647923,112730366,-0.06,27026004,73795389,31775120,23452126,27026004,68741083,69421860,73848258,56111274,0,154154905,200667636,5707848,7969065.11,9460796,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Escalon,San Joaquin,95320,Low,88.01,0.6505512612372483,0.5142,0.47950000000000004,515,0.83,0.44,8.99,0.11,0.58,0.7,0.1,0.07,NA,NA,3389661,376948,4258005,9737289,0.13,3261292,3935823,2587959,3099827,3261292,3329107,3574622,4097898,5646735,0,13174509,18692745,937204,707735.9,NA,0.179,0.105,35.11675291651531,671692,32080,4692,287022,40880,32.7,0.4979235553168949,7.667204611637476e-4,FALSE,FALSE
Escondido,San Diego,92025,Moderate,55.17,0.7251714669285065,0.6071,0.46,2328,0.22,0.95,3.99,0.04,1.06,0.7,0.09,0.15,NA,NA,19660044,4932883,225895819,237617478,0.06,21994712,101669305,19794792,21175350,21994712,90719285,91880900,98173842,251924841,0,579747208,822987373,22456924,36037140.77,NA,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Etna,Siskiyou,96027,Low,76.34,0.7847023827055046,0.6397999999999999,0.6133,72,0.43,0.24,3.44,0.15,0.18,0.83,0.02,0.05,0.08,0,336400,97911,394615,1666863,-0.02,419329,978003,448223,366507,419329,659296,825299,864942,305677,0,1417957,1715161,38523,80229.41,138445,0.231,0.102,32.44723090665476,44780,31784,6697,22084,32841,47,0.4987750556792873,0.00160786065207682,TRUE,FALSE
Eureka,Humboldt,95501,Moderate,54.56,0.7955847759213462,0.647,0.40630000000000005,140,0.17,0.6,1.15,0.01,0.93,0.65,0.07,0.11,NA,NA,4414094,3849388,37515279,62160467,0.2,5459419,31703489,3901949,5496656,5459419,31186318,31657193,31640271,57792623,0,108021507,165301112,4514818,6779783.69,NA,0.264,0.073,35.86541230391159,132657,31084,6269,70605,34145,37.1,0.5021058808673109,0.0010553532795103161,FALSE,FALSE
Exeter,Tulare,93221,Moderate,46.68,0.6045185610298884,0.4399,0.36810000000000004,244,0.03,0.96,0,0.09,0.48,0.78,0.05,0.08,NA,NA,0,970030,10410167,10896305,-0.41,174662,5387825,527660,380045,174662,4319685,4462829,5105105,5265163,0,17038846,21931629,586271,884267.43,NA,0.133,0.109,31.182634765411162,429283,28708,3686,188438,33537,29.6,0.5007971884689232,5.683896171057322e-4,FALSE,FALSE
Fairfax,Marin,94930,Low,72.74,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.47,0.57,9.96,0.08,0.73,0.85,0.04,0.08,0.13,0.34,3543658,355617,6898802,12113755,0.27,4196952,9013898,2652478,3039316,4196952,7834243,8216849,9116508,5318211,3493000,28810293,33722356,449322,979124.65,1524756,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,TRUE,TRUE
Fairfield,Solano,94533,Moderate,57.96,0.6956945732923293,0.594,0.5109,214,0.28,0.58,8.54,0.03,0.94,0.72,0.06,0.12,0.01,0,20005735,2343663,126984906,220806795,0.04,27540380,98947364,25294235,25645036,27540380,94903721,94344250,100586928,175703068,31871329,451283326,630633231,13512677,26465669.9,3153300,0.242,0.069,45.98817522960007,408972,38030,6022,178995,46543,36.9,0.4988459975226446,5.232632062830708e-4,FALSE,FALSE
Farmersville,Tulare,93223,Low,93.43,0.6045185610298884,0.4399,0.36810000000000004,244,0.73,0.17,12.79,0.11,0.12,0.83,0.02,0.03,NA,NA,1477079,115473,1980178,11414240,0.06,2343135,3231267,2117787,2036389,2343135,2892559,3012839,3527041,1394031,0,6181413,7489496,282522,384041.29,NA,0.133,0.109,31.182634765411162,429283,28708,3686,188438,33537,29.6,0.5007971884689232,5.683896171057322e-4,TRUE,FALSE
Ferndale,Humboldt,95536,Low,75.14,0.7955847759213462,0.647,0.40630000000000005,140,0.6,2.33,12.74,0.03,NA,NA,NA,NA,NA,NA,433370,34012,4525593,1938289,0.09,551388,917238,471632,480642,551388,926816,936880,987984,NA,NA,NA,NA,NA,NA,NA,0.264,0.073,35.86541230391159,132657,31084,6269,70605,34145,37.1,0.5021058808673109,0.0010553532795103161,NA,FALSE
Fillmore,Ventura,93015,Low,74.57,0.8138416978089583,0.6566,0.43520000000000003,602,0.83,2.56,3.02,0.04,0.28,0.75,0.03,0.04,0.04,0,5622449,1863837,57388537,22391900,0.04,6377389,7692619,5971453,6008707,6377389,7011139,6766481,7452139,6283886,0,18418446,24467402,592572,872335.13,984828,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,FALSE,FALSE
Firebaugh,Fresno,93622,Low,85.15,0.714652135684724,0.5144,0.4532,712,0.96,0.75,4.55,0.25,0.35,0.76,0.04,0.06,0.31,0,4795324,1052988,8402733,11188513,0.53,2958271,3066637,1264831,1940441,2958271,3403613,3763662,5230212,3913188,0,12131582,15955466,435257,668628.45,3458648,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
Folsom,Sacramento,95630,Moderate,48.17,0.7350143977736597,0.5869,0.44189999999999996,1330,0.21,1.04,2.27,0.05,0.9,0.65,0.09,0.13,0.68,0.05,16399598,7213790,158799534,152358337,0.21,17568624,85284054,12184346,16738227,17568624,71264434,76561301,78183863,137795425,0,270953661,417324465,13106496,19914655.26,103465277,0.27899999999999997,0.07200000000000001,52.519033474417654,1394438,39207,6314,801064,51750,34.8,0.48970882189587167,9.537892685081732e-4,FALSE,FALSE
Fontana,San Bernardino,92335,Low,79.03,0.6748090460761734,0.5012,0.37189999999999995,1391,0.71,0.31,9.82,0.05,0.59,0.69,0.05,0.09,0.28,0,50772731,5168520,77110238,249519990,0,85429773,120334663,85799903,83982754,85429773,99518272,98103407,108970832,146180506,0,319734313,465500958,13144413,23297050.44,70107961,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Fort Bragg,Mendocino,95437,Moderate,68.75,0.8143896212327997,0.6516,0.222,249,0.3,0.21,3.02,0.01,0.42,0.74,0.03,0.06,0.14,0.38,1697469,561893,5004436,23616465,-0.25,2865173,9542073,5322440,3102920,2865173,9113664,8210732,9195822,9260794,755835,26616947,35804624,728681,1454580.97,3391042,0.214,0.069,35.23985914848859,87468,34608,7965,47931,34716,41.5,0.5007115128470759,0.002846755384826451,FALSE,FALSE
Fortuna,Humboldt,95540,Low,88.92,0.7955847759213462,0.647,0.40630000000000005,140,1.07,0.77,12.89,0.18,0.46,0.73,0.04,0.07,NA,NA,4725607,366729,16484559,21353194,0.22,7096062,6661693,4855162,5233809,7096062,6135617,6756693,8417191,9723507,0,26579881,36267739,880291,1503126.18,NA,0.264,0.073,35.86541230391159,132657,31084,6269,70605,34145,37.1,0.5021058808673109,0.0010553532795103161,FALSE,FALSE
Foster City,San Mateo,94404,Low,79.75,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.33,0.04,9.81,0.05,1,0.69,0.08,0.13,0.14,0,41961646,4279145,3146532,81576787,0.14,53371052,40080179,41046604,45628490,53371052,43557905,44077681,47828103,81720266,0,176735935,257549725,6506323,10396276.19,11812000,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Fountain Valley,Orange,92708,Moderate,70.77,0.8640684252298959,0.6275,0.4654,2109,0.69,0.44,14.32,0.16,1.2,0.74,0.08,0.15,0.48,0.18,45197785,3155173,35537608,81536214,0,39940129,57802994,40522308,44116389,39940129,42538030,45201964,56357758,82249932,15696537,224268783,304582213,6183724,11908232.92,38804000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Fowler,Fresno,93625,Low,83.18,0.714652135684724,0.5144,0.4532,712,0.63,0.44,5.34,0.02,0.48,0.71,0.05,0.09,NA,NA,1930296,361810,3764965,8638041,0.18,2380288,3792709,1705450,2049435,2380288,3950363,4187613,4123562,4106980,0,10725015,15014957,454404,770623.85,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
Fremont,Alameda,94537,Moderate,54.06,0.8130188885559002,0.6364,0.4833,1041,0.26,0.59,3.82,0.07,1.19,0.69,0.1,0.17,0.25,0.09,36008110,9421518,188672075,318389276,0.16,49701777,191498299,36933083,39651567,49701777,170603975,179780027,195800093,377822524,0,825236628,1191750799,33055894,54467271.4,80829000,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Fresno,Fresno,93721,Moderate,57.21,0.714652135684724,0.5144,0.4532,712,0.15,1.48,2.95,0.05,-0.24,1.13,0.04,NA,0.12,0,37610887,12731215,1182094114,799688135,0.19,47943256,328427700,36228994,52743277,47943256,282145068,317521281,309433840,-318219533,124245000,2783664524,2465444991,34305616,NA,92819706,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,TRUE,FALSE
Fullerton,Orange,92632,Moderate,50.05,0.8640684252298959,0.6275,0.4654,2109,0.16,0.27,1.66,0.03,1.26,0.69,0.08,0.16,0.19,0,15744269,9457643,51308436,192241711,0.02,13991792,89923208,14881883,10661006,13991792,85040121,86917173,89860226,241388755,0,547340056,790177798,14610563,31529425.71,35970833,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Galt,Sacramento,95632,Low,79.39,0.7350143977736597,0.5869,0.44189999999999996,1330,0.8,1.01,6.64,0.02,0.54,0.72,0.06,0.08,0.05,0.2,9418839,1419413,40018587,39465629,0.2,10427742,13002028,7392384,10068744,10427742,10357914,11991969,10472641,21267915,0,55022253,76183507,2217435,3279169.03,2089648,0.27899999999999997,0.07200000000000001,52.519033474417654,1394438,39207,6314,801064,51750,34.8,0.48970882189587167,9.537892685081732e-4,FALSE,FALSE
Garden Grove,Orange,92842,Moderate,55.25,0.8640684252298959,0.6275,0.4654,2109,0.3,0.48,7.22,0.06,1.3,0.68,0.1,0.17,0.08,0,30594872,4239984,104394344,218892425,0.24,33146665,110228791,21683411,26158341,33146665,103184786,108987076,115196433,283673664,0,573218946,849178803,22336835,37537243.99,18180623,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Gardena,Los Angeles,90247,Moderate,56.26,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.41,0.5,4.07,0,1.13,0.72,0.05,0.17,0.78,0,21155757,5202768,44772294,88665065,0.07,23125222,56342986,20516053,23549401,23125222,53417065,55233831,53742377,100311487,0,262798916,362594800,4041712,14896868.16,68940000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Gilroy,Santa Clara,95020,Moderate,65.37,0.7060058122206997,0.6068,0.5729,1142,0.49,0.8,5.06,0.03,0.74,0.7,0.07,0.12,0.13,0,25195718,4975467,88009242,110400793,0.08,25475105,52090236,22202316,24354609,25475105,49750952,49801339,52992478,82049297,0,191951294,273547020,7703537,13034294.31,14781000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Glendale,Los Angeles,91206,Moderate,55.71,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.23,0.63,5.38,0.08,0.9,0.71,0.07,0.12,0.02,0,105607000,19622000,409597000,647382000,-0.1,51045000,218792000,63280000,65306000,51045000,181764000,185116000,211681000,580175000,0,1415482799,1983240917,46211000,78108971.68,15738000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Glendora,Los Angeles,91741,Moderate,64.68,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.46,0.5,7.82,0.03,1.02,0.73,0.03,0.14,0.2,0,12951159,1656604,29165184,57765478,0.03,14003913,30322606,13423797,14202413,14003913,28772136,30611829,30200366,56443932,2225000,153392284,210101176,2013377,8350425.9,11800341,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Goleta,Santa Barbara,93117,Low,85.79,0.7376324610238962,0.637,0.5216,318,0.66,0.17,6.35,0.06,0.07,0.83,0.01,0.02,0.05,0,16505249,2600035,6875055,39534737,0.06,19452278,29445920,17721938,21302919,19452278,24592798,25928149,27489791,2749352,0,13166194,15825292,591252,978822.29,1827335,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,TRUE,TRUE
Gonzales,Monterey,93926,Low,71.6,0.6775766701887825,0.562,0.588,184,0.44,0.64,0.89,0.05,0.2,0.82,0.03,0.05,NA,NA,966261,1081972,8910115,13974619,0.03,2424823,5554865,2322079,2209697,2424823,4987704,5250840,5480929,2784167,0,11710823,14356142,416706,656918.76,NA,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,TRUE,FALSE
Grand Terrace,San Bernardino,92313,Moderate,60.5,0.6748090460761734,0.5012,0.37189999999999995,1391,0.23,0.02,0.84,0.37,0.54,0.7,0.04,0.06,0.12,0,1897340,2268463,165729,9353646,-0.06,1334517,5760627,2174100,906675,1334517,4424242,5570613,8162060,5064768,0,11623168,16514840,391538,570376.99,1165731,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Grass Valley,Nevada,95945,Low,75.68,0.8550759617576464,0.7533,0.6951,99,0.65,0.46,6.44,0,0.63,0.74,0.05,0.1,0.21,0,9501119,1474388,14622619,31802236,0.07,9641999,14854144,8442621,9173991,9641999,15247214,14628049,15238579,18989769,1011000,52822652,71787340,1542774,3064094.22,6598296,0.327,0.066,36.34338085539715,98200,44033,10723,52482,39159,47.6,0.49446154469239806,0.0010081466395112017,FALSE,FALSE
Greenfield,Monterey,93927,Moderate,59.47,0.6775766701887825,0.562,0.588,184,0.14,0.72,0.98,0.07,0.28,0.77,0.04,0.06,NA,NA,963277,980144,11806125,16453492,-0.1,1180949,8144704,1539901,1756570,1180949,6192963,6715394,7018604,4651302,0,15268683,19801660,639408,1059420.1,NA,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Gridley,Butte,95948,Low,80.54,0.7693430199787061,0.6225,0.49439999999999995,159,1.48,0.29,15.92,-0.01,0.75,0.68,0.06,0.12,0.31,0,4858839,305272,4363048,14862839,0.11,6705757,4535000,5437756,5995687,6705757,3488783,3465592,3460644,11125054,0,23930816,34986840,947355,1710928.3,4533287,0.24,0.085,33.56159774281618,219034,31896,5953,103874,35124,37.2,0.4951409090909091,7.259146981747126e-4,FALSE,FALSE
Grover Beach,San Luis Obispo,93433,Moderate,43.35,0.8320743034055728,0.6917,0.5104,152,0.11,1.77,1.05,0.03,0.7,0.74,0.07,0.12,NA,NA,2033360,1929621,30492066,17272579,-0.35,1269091,11320702,3456896,3053454,1269091,8583778,8904927,8965580,12121536,0,33555356,45514682,1208949,2003022.61,NA,0.315,0.057999999999999996,47.20735251053094,266358,39692,9659,154624,39377,39.4,0.5117954880079514,5.706605395745575e-4,FALSE,FALSE
Guadalupe,Santa Barbara,93434,Moderate,52.07,0.7376324610238962,0.637,0.5216,318,-0.09,0.26,0.38,0.17,0.3,0.79,0.03,0.06,0.02,0,522318,1359540,2699211,10249961,0.18,-371989,3929250,-739427,-907253,-371989,2881545,3305024,3935042,3065323,0,11254541,14304894,329839,654956.22,251163,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Gustine,Merced,95322,Moderate,57.8,0.6923899026027232,0.46090000000000003,0.4029,118,0.04,0.47,7.29,NA,0.46,0.73,0.05,0.07,NA,NA,1124124,154241,3052616,6544574,NA,100790,2250367,NA,NA,100790,NA,NA,2346449,3030661,0,8121590,11099430,308533,441946.73,NA,0.125,0.127,29.541949724193536,250538,26936,3459,90756,35639,29.6,0.5032858600509005,4.709864371871732e-4,FALSE,FALSE
Half Moon Bay,San Mateo,94019,Low,79.28,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.55,0.59,7.3,0.03,0.36,0.73,0.03,0.05,-0.01,1.4,9210883,1261919,17762245,29972015,-0.04,9962452,18038886,10739444,11057160,9962452,15808803,15061186,16499748,10901824,0,30061288,40945026,880539,1460764.24,NA,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Hanford,Kings,93230,Moderate,61.24,0.6342746931320331,0.4569,0.6423000000000001,210,0.28,0.55,7.02,0.08,0.67,0.77,0.08,0.1,0.02,0,9270774,1320439,41127264,74569156,0.04,8504194,30657356,7949872,8878322,8504194,25145909,28061019,29134766,49728732,0,145842285,189606257,6277823,7778181.39,1375097,0.124,0.106,34.93159767672847,152027,25392,3690,58713,40187,31.1,0.564406270018695,0.0013813335789037474,FALSE,FALSE
Hawaiian Gardens,Los Angeles,90716,Low,89,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.19,0.03,16.89,0.04,0.42,0.75,0.05,0.07,0.27,0.42,23365604,1383188,613377,23132639,-0.02,24184659,20343806,25255290,26514835,24184659,17728353,17747524,19096727,9727850,0,27418508,36712348,1181797,1554019.03,6307806,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Hawthorne,Los Angeles,90250,Moderate,57.03,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.38,0.29,11.46,0.13,1.21,0.73,0.08,0.15,0.99,0,18843249,1643724,30498816,106881766,0.56,26066029,68322095,10763286,16615228,26066029,60542420,66881409,77768342,114667546,14650000,299930165,413054725,8701722,15713117.85,105728000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
