city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Apple Valley,San Bernardino,92307,Moderate,57.44,0.6748090460761734,0.5012,0.37189999999999995,1391,0.06,0.15,0.89,0.11,0.19,0.72,0.02,0.03,0.04,0,1164253,1302510,10892253,71339339,-0.37,1770927,29266444,6683436,1766647,1770927,23081714,23743085,28335812,13908768,0,35490108,49097036,1384661,2315617.58,2651358,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Arcadia,Los Angeles,91066,Moderate,59.39,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.49,0.26,13.04,0,1.72,0.65,0.13,0.22,0.2,0.11,27775761,2129756,22029596,85946351,-0.02,30055362,61126092,31155339,30338575,30055362,59396995,59042619,59565925,147874349,0,266062728,411285829,11423038,19030191.98,17516353,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Arcata,Humboldt,95521,Low,72.85,0.7955847759213462,0.647,0.40630000000000005,140,0.45,0.11,2.96,0.05,0.63,0.75,0.04,0.09,0.08,0.15,7420642,2511087,3976764,35968049,0.1,7226115,16195269,6092009,7363248,7226115,14758393,14630461,16039118,20376398,2194000,62346818,82789259,1325484,3165903.55,2772195,0.264,0.073,35.86541230391159,132657,31084,6269,70605,34145,37.1,0.5021058808673109,0.0010553532795103161,FALSE,FALSE
Arroyo Grande,San Luis Obispo,93420,Low,73.47,0.8320743034055728,0.6917,0.5104,152,0.54,0.09,9.37,0.04,0.77,0.72,0.08,0.11,0.19,0,9296826,991915,2512995,27783905,0.25,10276752,18899882,6592162,8313896,10276752,16041132,16292036,17337237,21434067,0,59297830,82637519,2342517,3163158.1,5202209,0.315,0.057999999999999996,47.20735251053094,266358,39692,9659,154624,39377,39.4,0.5117954880079514,5.706605395745575e-4,FALSE,FALSE
Arvin,Kern,93203,Moderate,52.46,0.6575433079519254,0.4984,0.41200000000000003,588,0,0.62,0,0.09,0.17,0.8,0.02,0.04,NA,NA,0,3231028,9262003,14867486,0.34,484,6414433,-255875,-338038,484,5386927,5727803,6386388,2462471,0,10144590,12622617,272082,651863.62,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,TRUE,FALSE
Atascadero,San Luis Obispo,93422,Moderate,66.18,0.8320743034055728,0.6917,0.5104,152,0.5,0.54,6.5,0.04,0.86,0.73,0.09,0.13,0.01,0,10277416,1580542,16666332,30999836,0.07,11402478,22606004,10100896,9895669,11402478,21890771,22097886,23556455,26808749,0,71939702,98461546,2685953,4081164.01,192103,0.315,0.057999999999999996,47.20735251053094,266358,39692,9659,154624,39377,39.4,0.5117954880079514,5.706605395745575e-4,FALSE,FALSE
Atherton,San Mateo,94027,Low,86.73,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.36,0.03,4.68,0.09,0.74,0.74,0.06,0.11,0.18,0.61,21671331,4633033,646267,21804451,0.16,17288313,12679280,13305842,13006525,17288313,14108498,15301758,16647068,16121566,0,46605896,62802279,1288841,2505588.75,4010576,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Atwater,Merced,95301,High,29.5,0.6923899026027232,0.46090000000000003,0.4029,118,-0.11,1.86,0.26,0.05,0.66,0.67,0.07,0.06,0.57,0,981142,3732487,77383279,41640139,0.27,-1497015,13421742,-2862725,-2388471,-1497015,11754202,11881186,12900929,27538451,0,52816016,79363010,2892846,2706130.85,23653000,0.125,0.127,29.541949724193536,250538,26936,3459,90756,35639,29.6,0.5032858600509005,4.709864371871732e-4,FALSE,FALSE
Auburn,Placer,95603,Moderate,60.69,0.8313888865674386,0.7322,0.5558,379,0.44,0.83,3.57,0.02,0.94,0.74,0.06,0.13,0.07,0,4823808,1350781,18151700,21894526,-0.04,5383812,12131967,5823198,5796166,5383812,11332517,11867231,11711887,17388071,3160000,50410039,67832426,1399915,2846738.74,1638555,0.34700000000000003,0.065,46.07508709356337,337568,47986,9735,198859,45005,40.3,0.4883334481333517,0.001122736752298796,FALSE,TRUE
Avalon,Los Angeles,90704,Moderate,62.91,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.17,0.21,3.59,0,0.37,0.75,0.03,0.06,0.27,0,2071865,576539,5813413,27768649,-0.47,2058271,12066395,7317587,3604944,2058271,12271213,9900785,11737274,10342526,0,29691204,39665015,874164,1736436.72,7376328,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
