city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_unemployment_5yr,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_college,county_per_cap_precints,good_pension_health,is_county_job_center
Portola,Plumas,96122,Low,92.59,0.863913508077189,0.7021,0.5874,29,1.78,0.53,21.69,-0.04,0.18,0.89,0.01,0.03,NA,NA,2497311,115116,2149784,4031439,0.08,2463103,1381883,2150941,2467246,2463103,1394676,1425852,1285221,709707,0,3286533,3676963,34427,104624.65,NA,0.10200000000000001,0.16,50.55907580941048,20169,37357,10165,37401,49.6,0.49997500874693857,0.22899999999999998,0.0014378501660964847,TRUE,FALSE
Portola Valley,San Mateo,94028,Low,90.91,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.15,0.01,4.51,0.05,0.09,0.89,0.02,0.04,0.15,0,6913855,1532150,94438,7431028,0.09,5580321,4869884,4735276,4884645,5580321,5078478,5434866,5559297,670105,0,6981041,7816914,153312,291497.66,1119863,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,TRUE,TRUE
Poway,San Diego,92064,Low,91.03,0.7251714669285065,0.6071,0.46,2328,0.98,0.15,9.89,0.04,0.53,0.72,0.04,0.08,NA,NA,50495097,5105870,14215389,97082034,-0.04,50806784,51934866,55087525,49999281,50806784,46673775,51092682,49845739,51420347,0,148392198,204883695,4260278,7910167.66,NA,0.05740000000000001,0.098,55.89392078865727,3061203,42771,1821926,50801,34.6,0.501944368793309,0.344,7.60485338607077e-4,FALSE,TRUE
Rancho Cordova,Sacramento,95670,Low,83.86,0.7350143977736597,0.5869,0.44189999999999996,1330,0.47,0.18,3.08,0.06,0.03,0.83,0.01,0.01,0,0.88,30822383,9999254,17917481,101659644,0.11,31285547,65903123,25799156,29805660,31285547,58988898,60984164,66473507,3507124,0,18999058,23020428,823925,1237823.76,123259,0.0674,0.115,49.93205173075981,1408601,37940,771552,52070,34.8,0.48970597045959957,0.27899999999999997,9.441992444986195e-4,TRUE,TRUE
Rancho Cucamonga,San Bernardino,91730,Low,94.47,0.6748090460761734,0.5012,0.37189999999999995,1391,1.02,0.13,25.72,0.11,0.37,0.81,0.05,0.04,0,1,96345450,3746297,29661009,224964442,-0.03,92783837,90871777,97777581,91749914,92783837,76438890,84593687,92699162,82138832,0,217107487,266686099,10148303,9238176.66,NA,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,TRUE,FALSE
Rancho Mirage,Riverside,92270,Low,96.87,0.6519685051631071,0.5115,0.4153,1403,2.55,0.02,16.89,0.05,-0.02,1.01,0.01,0.01,0.01,0.86,75695882,4481821,1584701,69041775,0.04,73824834,28971846,69303650,67928032,73824834,32141573,33250687,35083126,-1582004,0,60456707,59881907,566522,900323.94,629936,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,TRUE,FALSE
Rancho Palos Verdes,Los Angeles,90275,Low,89.47,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.68,0.01,6.54,0.04,0.28,0.74,0.03,0.05,NA,NA,20473726,3129574,400504,39611203,0.09,19772088,29201461,16635098,17165561,19772088,29259666,30452619,31618664,10921840,0,34766552,46687135,1153245,2032910.53,NA,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Rancho Santa Margarita,Orange,92688,Low,89.65,0.8640684252298959,0.6275,0.4654,2109,1.15,0.42,14.73,0.07,0.07,0.79,0.01,0.02,0.02,0,20260491,1375283,9457422,22314531,0.09,20615396,17982481,17551520,18713739,20615396,16921065,17564173,19137375,1560147,0,6567211,8264923,331671,451546.41,441374,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,FALSE,TRUE
Red Bluff,Tehama,96080,Moderate,63.01,0.727765878189607,0.5775,0.5483,47,0.31,0.1,3.84,0.09,0.85,0.74,0.08,0.15,0.18,0,2749592,715204,1876344,19468105,0.14,3712775,12015162,2993070,2668972,3712775,9763680,10133862,11528257,16310008,304000,50177948,67960424,1602271,2932412.24,3540795,0.08780000000000002,0.142,24.406846766627975,62891,27653,22776,34815,39.5,0.49810844892812106,0.131,7.473247364487765e-4,FALSE,FALSE
Redding,Shasta,96001,Moderate,54.69,0.735475342080671,0.6183,0.5178,150,0.2,0.8,4.28,0.08,0.81,0.65,0.08,0.1,0.09,0,16493759,3856452,288164151,359919434,0.08,19882604,98361365,17891142,15171781,19882604,64788222,67174860,74329630,289887861,0,566088593,870130204,28103467,36997352.63,32309051,0.0924,0.149,36.107124927374365,177279,33020,86195,37357,41.8,0.49164038121893006,0.193,8.46123906384851e-4,FALSE,FALSE
Redlands,San Bernardino,92373,Moderate,60.87,0.6748090460761734,0.5012,0.37189999999999995,1391,0.42,0.39,10.17,0.07,0.84,0.72,0.08,0.13,0.84,0,28634955,2816121,59868902,152893690,0.11,29835015,71760084,24180981,25942066,29835015,63704814,68641518,72648120,119157735,10015989,322099959,448589473,11921587,20156257.99,128792181,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,FALSE,FALSE
Redondo Beach,Los Angeles,90277,Moderate,52.33,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.21,0.45,3.69,0.07,1.26,0.67,0.11,0.19,0.13,0.24,13530222,3667377,64363898,142351748,0.04,19742239,94218781,18415302,17690229,19742239,85370309,90223234,96422165,178725081,0,403951557,602545683,15639400,27563746.59,18428091,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Redwood City,San Mateo,94063,Moderate,66.48,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.34,0.34,2.38,0.11,0.81,0.66,0.07,0.12,0.18,0.36,53505535,22438873,103304262,308120481,0.31,48048598,140295872,31144357,28134558,48048598,129622688,143135100,159620802,248431430,0,508604935,765987793,23007399,37065222.86,56645036,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,FALSE,TRUE
Reedley,Fresno,93654,Moderate,66.76,0.714652135684724,0.5144,0.4532,712,0.36,0.92,8.84,0.08,0.35,0.76,0.04,0.07,0.25,0.02,2285429,258508,33424371,36136840,0.22,3456028,9617080,2663121,2124915,3456028,8529817,8482505,9803108,12746125,0,43360950,57207126,1346664,2562007.5,8921105,0.1028,0.153,37.159897469066,921478,30167,424077,38372,30.6,0.4995577679695048,0.19399999999999998,7.726717295475313e-4,FALSE,FALSE
Rialto,San Bernardino,92376,Moderate,60.72,0.6748090460761734,0.5012,0.37189999999999995,1391,0.37,1.07,2.28,0.09,0.66,0.72,0.08,0.11,0.23,0.32,84187636,36983357,196094256,183568830,-0.06,58246788,156679215,65844064,66728704,58246788,85205387,87380883,100086436,120419799,0,311597174,432747189,15205281,20710693.5,41317131,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,FALSE,FALSE
Richmond,Contra Costa,94804,High,36.21,0.7539949308861223,0.6535,0.4758,854,0.11,1.28,2.42,0.04,1.59,0.71,0.1,0.17,0.65,0.09,14908982,6156020,385739815,300210323,0.01,19597840,172808014,19719210,17663270,19597840,154881302,157093431,166048366,330395675,147275826,856097047,1197888229,30937386,50628988.49,193782442,0.06060000000000001,0.10400000000000001,77.36020002119685,1037890,54015,481146,57960,38.5,0.48762013869562065,0.386,8.228232278950563e-4,FALSE,FALSE
