city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_unemployment_5yr,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_college,county_per_cap_precints,good_pension_health,is_county_job_center
Adelanto,San Bernardino,92301,High,39.59,0.6748090460761734,0.5012,0.37189999999999995,1391,-0.08,2.28,0.15,0.16,0,0.98,0.01,0.01,0.05,0,837296,5497480,86621383,38035335,-0.96,-1852634,23282930,5330502,3343368,-1852634,10028361,13290197,13131001,70046,0,11564626,11840869,202155,310033.48,2067483,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,TRUE,FALSE
Agoura Hills,Los Angeles,91301,Low,79.59,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.54,0.52,3.64,0.05,0.16,0.78,0.02,0.04,0.04,0.63,7318379,2009121,14000111,26987762,-0.03,9587957,17832392,10160346,10736584,9587957,15178539,15994083,16591561,4394714,0,17742700,22644512,525812,1005522.97,1005573,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Alameda,Alameda,94501,Moderate,59.93,0.8130188885559002,0.6364,0.4833,1041,0.38,0.36,4.05,0.06,0.98,0.66,0.1,0.14,0.39,0.12,35563557,8788248,93239582,260607420,-0.1,39618996,104306360,48820249,40426963,39618996,89608872,97332735,99639351,256284556,0,515898779,784229460,25154606,35561547.06,101811835,0.0622,0.107,58.94504247136711,1498539,45854,864535,60411,36.6,0.49035860098075956,0.41100000000000003,6.946766150230325e-4,FALSE,TRUE
Albany,Alameda,94706,Moderate,46.37,0.8130188885559002,0.6364,0.4833,1041,0.16,0.75,1.75,NA,0.99,0.71,0.08,0.14,0.1,0,6465667,3697893,27431566,36370469,NA,3243041,20725079,NA,NA,3243041,NA,NA,20481005,35842452,0,95339099,133377319,2808899,5252418.75,3771010,0.0622,0.107,58.94504247136711,1498539,45854,864535,60411,36.6,0.49035860098075956,0.41100000000000003,6.946766150230325e-4,FALSE,TRUE
Alhambra,Los Angeles,91802,Moderate,59.08,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.37,0.4,3.97,0.03,1.07,0.7,0.11,0.16,0.19,0,20564531,5179806,50320587,126128158,0.05,25558005,68238973,23248704,24968370,25558005,63229195,65023238,66612073,134554225,0,340696822,485047194,13602445,19634378.89,23908045,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Aliso Viejo,Orange,92656,Low,91.79,0.8640684252298959,0.6275,0.4654,2109,1.77,0.05,20.08,0.04,0.03,0.87,0.01,0.01,0.03,0,30738079,1530688,1428304,27807128,0.1,32375144,18315842,26935544,30335238,32375144,18675228,20217610,20264249,928264,0,5810309,6683730,239511,382666.61,778458,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,TRUE,TRUE
Alturas,Modoc,96101,Moderate,66.43,0.7980002898130706,0.6528,0.31829999999999997,20,0.34,0.57,8.52,-0.02,0.65,0.73,0.05,0.11,NA,NA,329859,38697,2874874,5008239,-0.12,511715,1506875,650015,585872,511715,1457854,1376792,1417345,3239374,0,9284577,12764399,274078,529280.18,NA,0.092,0.126,41.43271822517106,9646,34677,4201,32906,46.1,0.5036149555876885,0.19399999999999998,0.0020733982998133943,FALSE,FALSE
American Canyon,Napa,94503,Low,78.79,0.7790353151347466,0.6576000000000001,0.275,147,0.45,0.28,7.34,0.07,0.32,0.77,0.04,0.03,0.15,0.5,8299397,1130530,12518958,45049623,0.14,9582105,21062425,7535199,7878782,9582105,17892356,19247202,20344391,14555212,0,27031513,34921703,1890220,1501334.9,6923268,0.0522,0.087,58.99447811945594,135280,46018,88602,46726,39.7,0.4994982971399275,0.312,0.0010866351271437019,FALSE,TRUE
Anaheim,Orange,92805,Moderate,50.3,0.8640684252298959,0.6275,0.4654,2109,0.13,1.54,2.18,0.07,0.58,0.71,0.06,0.1,0.14,0.33,47526000,21817000,2005727000,1302053000,0.15,58676000,434957000,44392000,52564000,58676000,365976000,389799000,412996000,761026000,0,1977352404,2767653907,75598000,128839008.14,184851000,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,FALSE,TRUE
Anderson,Shasta,96007,Moderate,64.11,0.735475342080671,0.6183,0.5178,150,0.42,0.29,0.52,0.11,0.87,0.73,0.07,0.13,NA,NA,288491,554542,4246586,14892529,0.04,3600481,8664657,3425688,2957093,3600481,7798830,8001944,9507180,11559361,1470350,33432788,45955240,1107866,1957797.21,NA,0.0924,0.149,36.107124927374365,177279,33020,86195,37357,41.8,0.49164038121893006,0.193,8.46123906384851e-4,FALSE,FALSE
Angels Camp,Calaveras,95222,Low,75.88,0.8044205157268348,0.6684,0.5853,30,0.6,0.45,5.67,0.08,0.54,0.74,0.07,0.09,0.4,0.01,1727552,304912,4338372,9643213,0.35,2119885,3512961,1169285,1549696,2119885,3024334,3419248,3506079,5183842,0,16141344,21797446,644318,878831.41,3831121,0.0826,0.142,22.503115468409586,45900,35508,15601,34054,49.2,0.5007240335249462,0.20800000000000002,6.5359477124183e-4,FALSE,FALSE
Antioch,Contra Costa,94531,Low,81.58,0.7539949308861223,0.6535,0.4758,854,0.76,0.11,6.73,0.09,0.81,0.7,0.08,0.14,0.37,0.2,39770335,5912868,14475181,133364593,0.19,43254201,56995262,30795315,34471225,43254201,52854264,54696347,62553786,108638051,0,274858675,390065003,11083925,18069693.91,49072106,0.06060000000000001,0.10400000000000001,77.36020002119685,1037890,54015,481146,57960,38.5,0.48762013869562065,0.386,8.228232278950563e-4,FALSE,FALSE
Apple Valley,San Bernardino,92307,Moderate,69.13,0.6748090460761734,0.5012,0.37189999999999995,1391,0.2,0.16,3.46,0.1,0.17,0.72,0.01,0.03,0.03,0,4581346,1324611,12508212,78209931,1.07,5534347,27674048,1766647,1770927,5534347,23743085,28335812,28385391,13607876,0,38362278,52983952,1033777,2440671.03,2690312,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,FALSE,FALSE
Arcadia,Los Angeles,91066,Moderate,57.61,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.43,0.23,11.57,0.03,1.58,0.65,0.14,0.23,0.2,0.14,26224774,2266159,21087255,91682798,-0.04,28376434,65458309,30338575,30055362,28376434,59042619,59565925,61952159,145223101,0,278410236,428477956,13247324,21057615.48,18001891,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Arcata,Humboldt,95521,Low,76.59,0.7955847759213462,0.647,0.40630000000000005,140,0.55,0.1,2.65,0.07,0.59,0.74,0.04,0.09,0.1,0.13,8706494,3288998,3730618,37573106,0.07,8395237,15284774,7363248,7226115,8395237,14630461,16039118,16443928,20231517,1780000,63949527,86227676,1649683,3522739.82,3611860,0.0718,0.111,34.98293007536787,133744,32529,68463,34076,37.1,0.5021060685976629,0.264,0.0010467759301351837,FALSE,FALSE
Arroyo Grande,San Luis Obispo,93420,Moderate,70.38,0.8320743034055728,0.6917,0.5104,152,0.46,0.08,4.69,0.06,0.67,0.76,0.09,0.11,0.18,0,9711947,2072848,2297671,29699747,0.1,9796073,21227961,8313896,10276752,9796073,16292036,17337237,18377074,19941392,0,66822489,87998040,2558407,3388121.89,5197892,0.0548,0.092,46.34423912435436,268145,38951,149202,40191,39.4,0.5117972380998305,0.315,5.668574838240504e-4,FALSE,FALSE
Arvin,Kern,93203,Moderate,52.69,0.6575433079519254,0.4984,0.41200000000000003,588,0.04,0.67,0.01,0.06,0.19,0.79,0.03,0.05,NA,NA,20000,1528294,8914642,13361128,268.34,259754,5994660,-338038,484,259754,5727803,6386388,6360627,2477898,0,10690991,13517881,358704,701167.59,NA,0.097,0.146,54.873449804068485,830137,28567,349093,42475,30.7,0.515831547805498,0.149,7.083168199947719e-4,FALSE,FALSE
Atascadero,San Luis Obispo,93422,Low,71.59,0.8320743034055728,0.6917,0.5104,152,0.59,0.5,8.5,0.05,0.8,0.73,0.09,0.13,0.01,0,12631715,1485591,16586806,32967081,0.17,13431089,22809724,9895669,11402478,13431089,22097886,23556455,24297478,26519899,0,75279764,103719051,2982660,4424039.43,206318,0.0548,0.092,46.34423912435436,268145,38951,149202,40191,39.4,0.5117972380998305,0.315,5.668574838240504e-4,FALSE,FALSE
Atherton,San Mateo,94027,Low,87.26,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.71,0.03,6.31,0.11,0.69,0.73,0.06,0.12,0.16,0.65,26530939,4206626,610450,23427201,0.33,22741122,13262153,13006525,17288313,22741122,15301758,16647068,18689035,16197111,0,47794295,65440072,1459626,2739468.56,3644663,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,FALSE,TRUE
Atwater,Merced,95301,High,34.97,0.6923899026027232,0.46090000000000003,0.4029,118,0.06,1.81,0.72,0.09,0.64,0.67,0.07,0.07,0.57,0,2758751,3810133,75609988,41794326,0.92,683923,12029256,-2388471,-1497015,683923,11881186,12900929,14034365,26546855,0,54790502,81928116,3103630,2967421.93,23860420,0.11880000000000002,0.17300000000000001,28.195091596578703,252302,27008,88875,36057,29.6,0.5032838668313813,0.125,4.6769347845042846e-4,FALSE,FALSE
Auburn,Placer,95603,Moderate,61.31,0.8313888865674386,0.7322,0.5558,379,0.37,0.67,2.16,0.05,0.77,0.74,0.06,0.12,0.07,0,4219040,1950053,17456517,26159069,-0.07,4994011,13541926,5796166,5383812,4994011,11867231,11711887,12944563,17423632,2840000,52586916,71533835,1621698,3110234.68,1722039,0.0606,0.106,44.7677758064047,343810,46149,189096,45878,40.3,0.48834726916918697,0.34700000000000003,0.0011023530438323494,FALSE,TRUE
Avalon,Los Angeles,90704,Low,75.01,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.41,0.22,5.64,0.16,0.37,0.75,0.04,0.07,0.28,0,3811822,676099,6035882,27248975,0.5,4992369,12051620,3604944,2058271,4992369,9900785,11737274,13173137,9975518,0,31614135,42135549,957691,1910466.49,7705047,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Avenal,Kings,93204,Low,76,0.6342746931320331,0.4569,0.6423000000000001,210,0.72,0.4,10.41,0.06,0.18,0.78,0.04,0.05,0.91,0,4204869,403977,6216840,15373794,-0.16,4067267,5645640,5765272,5214059,4067267,3927414,4305130,4406802,2813825,0,10808129,13910867,677015,811378.11,13990779,0.1036,0.14800000000000002,31.626446367827263,152278,24331,56878,40449,31.1,0.5644096382391779,0.124,0.0013790567251999633,FALSE,FALSE
Azusa,Los Angeles,91702,Moderate,67.35,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.43,0.63,3.71,0.06,0.59,0.73,0.06,0.09,0.38,0,18946376,5109081,80481691,127526683,0.49,18008711,41440096,10424782,8175057,18008711,40759058,39447907,44931012,75832655,0,223882402,306199598,7559334,12017908.86,48507422,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Bakersfield,Kern,93307,Moderate,61.9,0.6575433079519254,0.4984,0.41200000000000003,588,0.26,0.51,2.19,0.1,0.84,0.69,0.07,0.13,0.15,0.46,16468459,7533755,260389741,508387154,0.2,54581455,211321199,39243163,39497463,54581455,186789368,198092848,225733032,428877518,0,975772648,1417658091,34834009,64687622.34,77252372,0.097,0.146,54.873449804068485,830137,28567,349093,42475,30.7,0.515831547805498,0.149,7.083168199947719e-4,FALSE,FALSE
Baldwin Park,Los Angeles,91706,Moderate,62.59,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.51,0.49,7.36,0.1,1.9,0.99,0.04,0.07,0.82,0,13402274,1821891,28132840,57150596,0.08,15957014,31576360,13750999,15501574,15957014,27306799,31428916,32835839,54254582,54085000,205967893,208457728,2182568,4078957.69,47084477,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,TRUE,TRUE
Banning,Riverside,92220,Low,81.11,0.6519685051631071,0.5115,0.4153,1403,0.73,0.86,5.13,0.08,0.54,0.68,0.05,0.08,NA,NA,12922370,2516686,63246376,73926470,-0.01,13053047,17850878,13255127,12178195,13053047,15583618,15164729,17984151,40089912,0,91940861,134827194,3983126,6000661.11,NA,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,FALSE,FALSE
Barstow,San Bernardino,92311,Moderate,48.68,0.6748090460761734,0.5012,0.37189999999999995,1391,0.27,0.35,0.36,0.08,0.91,0.78,0.11,0.12,0.44,0.08,581603,1619772,14043553,40600973,-0.19,5843014,22010339,9222550,9163739,5843014,18169988,18327134,20897520,36833203,0,136075405,175482783,4302865,4850660.49,17798846,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,FALSE,FALSE
Beaumont,Riverside,92223,Moderate,67.21,0.6519685051631071,0.5115,0.4153,1403,0.42,2.16,3.96,0.12,0.19,0.77,0.03,0.05,NA,NA,16020917,4047759,186461927,86397059,0.75,14980384,36051913,5034141,10315492,14980384,28055975,31849709,35166941,16783417,0,60133252,78342019,2802244,3970745.01,NA,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,FALSE,FALSE
Bell,Los Angeles,90201,Moderate,62.57,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.02,1.64,9.5,0.02,1.2,0.68,0.09,0.17,0.47,0,16527065,1739148,50873393,30949164,-0.1,16306931,16034971,20467803,15340907,16306931,13856722,14298238,14504858,36135961,895000,83326676,121838181,2654602,5320656.6,14490647,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Bell Gardens,Los Angeles,90201,Moderate,58.21,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.56,0.26,9.09,-0.02,0.89,0.73,0.1,0.15,1.55,0,16560530,1821258,11226162,43188555,0.01,17152208,30585887,17207770,15807322,17152208,33762890,29890601,32154094,38223432,0,108868061,149820387,4443687,6458116.26,67058336,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Bellflower,Los Angeles,90706,Low,75.79,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.44,0.48,5.55,0.03,0.26,0.78,0.03,0.05,0.11,0.5,12310598,2219305,24182673,50414559,0.06,13345680,30547234,11885694,12197416,13345680,28361196,30012089,29703177,13098544,0,48518256,62408113,1290156,2376452.73,5479039,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Belmont,San Mateo,94002,Low,81.52,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.74,0.91,13.19,0.12,0.55,0.71,0.06,0.09,0.14,0.45,16179584,1226895,61020417,67153469,0.27,17108249,23221137,10751372,12563014,17108249,22379562,25907745,27766132,36859136,0,96930536,135785302,4215007,5961609.06,9536964,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,FALSE,TRUE
Belvedere,Marin,94920,Low,78.79,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.54,0.03,4.9,0.06,0.38,0.95,0.04,0.06,0.15,0,4244264,867005,225113,8541989,0.04,3779900,7063879,3520626,3550424,3779900,6591192,7262596,7304762,761743,2455000,22452178,23513517,357087,500226.74,1254000,0.04700000000000001,0.078,65.72879910070078,250862,81722,176386,56002,44.5,0.4915580556986095,0.546,7.534022689765688e-4,TRUE,TRUE
Benicia,Solano,94510,Low,78.04,0.6956945732923293,0.594,0.5109,214,0.76,0.54,18.55,0.15,0.97,0.73,0.08,0.15,0.05,0,28115086,1515943,39954997,73449168,0.32,29834626,39233850,17244481,23261888,29834626,35009975,43930155,45780054,63869398,7616272,184069173,253882552,5867277,10910924.16,3985099,0.06620000000000001,0.10800000000000001,44.24209217870287,410290,37379,174328,48554,36.9,0.49884720437989755,0.242,5.2158229544956e-4,FALSE,FALSE
Berkeley,Alameda,94704,Moderate,62.53,0.8130188885559002,0.6364,0.4833,1041,0.45,0.56,3.03,0.09,1.27,0.67,0.09,0.18,0.22,0.29,107359937,35462837,254271054,456975007,0.24,89538696,197502383,59328132,79987497,89538696,170392751,185351536,201089822,578448247,0,1243519038,1861419579,42575584,81686258.46,102753426,0.0622,0.107,58.94504247136711,1498539,45854,864535,60411,36.6,0.49035860098075956,0.41100000000000003,6.946766150230325e-4,FALSE,TRUE
Beverly Hills,Los Angeles,90210,Low,82.57,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.79,0.53,7.2,0.08,0.57,0.71,0.06,0.09,0.24,0,229224612,31837658,240824712,451632582,0.11,212182942,269122776,172603627,201389285,212182942,239727254,264499991,277245986,255285724,0,659440143,930186153,26660116,41339858.38,109897000,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Big Bear Lake,San Bernardino,92315,Moderate,68.84,0.6748090460761734,0.5012,0.37189999999999995,1391,0.29,0.47,5.85,0.04,0.59,0.8,0.06,NA,NA,NA,3936894,673440,22137719,46814837,-0.08,5206804,18215485,6454315,7386870,5206804,14025659,14270631,15093183,27388737,0,108614110,136002847,2806245,NA,NA,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,TRUE,FALSE
Biggs,Butte,95917,Low,82.59,0.7693430199787061,0.6225,0.49439999999999995,159,1.02,1.27,25.36,0.08,0.12,0.77,0.01,0.02,0.02,0,823360,32461,7484132,5907320,0.43,818239,798483,524399,1104829,818239,619510,714568,724485,680687,0,2472202,3209680,79325,135064.08,118409,0.0816,0.128,34.345245407845226,219777,31836,99078,35928,37.2,0.4951387468466626,0.24,7.234605986977709e-4,FALSE,FALSE
Bishop,Inyo,93514,Moderate,60.88,0.7882886344424807,0.6628000000000001,0.43189999999999995,27,0.43,0.05,5.09,0.08,1.23,0.76,0.11,0.14,0.54,0.32,2550524,501462,604167,11373083,-0.13,3070114,7187306,4293149,4650402,3070114,6446329,6428897,7467411,13930306,91266,37755557,49407338,1242189,1626147.58,6153094,0.06060000000000001,0.09300000000000001,54.68226919758413,18544,41483,10370,36352,45.6,0.5043145291770036,0.21,0.0014559965487489215,FALSE,TRUE
Blue Lake,Humboldt,95525,Low,86.78,0.7955847759213462,0.647,0.40630000000000005,140,1.44,0.05,8.74,0.03,0.43,0.68,0.05,0.06,0.06,0,1195981,136854,128027,2424249,0.07,1306865,905628,1162842,1171600,1306865,929533,823617,955772,1036670,0,2313515,3405528,109506,150140.59,151414,0.0718,0.111,34.98293007536787,133744,32529,68463,34076,37.1,0.5021060685976629,0.264,0.0010467759301351837,FALSE,FALSE
Blythe,Riverside,92225,High,30.27,0.6519685051631071,0.5115,0.4153,1403,0.07,1.04,0.08,0.01,1.14,0.7,0.1,0.17,0.55,0,56715,691866,17811099,17122864,3.51,605992,8987900,85514,696074,605992,7955167,8518676,8006597,19563281,0,49321562,70257845,1790590,2835661.17,9498982,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,FALSE,FALSE
Bradbury,Los Angeles,91008,Low,95.51,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,2.8,0,33.03,-0.06,0.04,0.92,0.01,0.02,NA,NA,3232418,97864,0,1840322,-0.01,3166760,1129938,3332558,2724298,3166760,1788547,1624842,1585834,67418,0,996707,1088882,17974,38923.53,NA,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,TRUE,TRUE
Brawley,Imperial,92227,Moderate,51.21,0.6502365004640552,0.44530000000000003,0.3225,108,0.06,0.41,0.59,0.07,0.59,0.92,0.02,0.06,0.12,0,592198,1006398,15516869,38086079,-0.12,923915,15830965,1753764,671653,923915,13972494,14207428,15835728,7107035,15305000,85664717,93066331,951338,2376081.74,4449833,0.2002,0.28300000000000003,39.79049811636668,172008,27886,72584,35233,31.9,0.513654282505558,0.132,6.278777731268313e-4,TRUE,FALSE
Brea,Orange,92821,Moderate,67.83,0.8640684252298959,0.6275,0.4654,2109,0.6,0.58,9.32,0.08,1.14,0.68,0.09,0.17,0.23,0,41257155,4428110,63708848,109082445,0.18,34961498,58567149,25393681,27841764,34961498,56983439,58020291,65445918,124862954,0,288219094,422118317,10303331,18097551.22,25606104,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,FALSE,TRUE
Brentwood,Contra Costa,94513,Low,75.02,0.7539949308861223,0.6535,0.4758,854,0.54,0.92,5.16,0.05,0.3,0.83,0.04,0.06,0.24,0.25,35783078,6936985,144681002,157446069,0.14,29675703,55450332,23227495,28386311,29675703,45179595,46550688,49729112,47441745,0,186240101,224822748,6150036,9248684.72,37947304,0.06060000000000001,0.10400000000000001,77.36020002119685,1037890,54015,481146,57960,38.5,0.48762013869562065,0.386,8.228232278950563e-4,TRUE,FALSE
Brisbane,San Mateo,94005,Moderate,63.97,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.34,0.58,1.73,0.17,0.65,0.74,0.06,0.11,0.16,0.23,4002959,2319764,20381020,34846762,-0.01,8770059,25533571,8954790,8902290,8770059,18461207,19775078,25048475,21064819,1436000,66326269,89266926,2080735,3764345.94,5703843,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,FALSE,TRUE
Buellton,Santa Barbara,93427,Low,91.59,0.7376324610238962,0.637,0.5216,318,1.55,0.01,29.44,0.13,0.16,0.77,0.02,0.03,0.14,0,9403198,319386,111960,13307341,0.22,10291995,6658446,6939241,8311826,10291995,6863196,7805302,8632266,2102906,0,7559173,9815173,304036,384462.37,1913736,0.0534,0.086,53.70100105624756,420356,43909,249731,44774,33.6,0.5019778415698188,0.315,7.565016319500614e-4,FALSE,TRUE
Buena Park,Orange,90622,Moderate,66.66,0.8640684252298959,0.6275,0.4654,2109,0.54,0.25,6.84,0.06,1.09,0.7,0.09,0.16,0.06,0.26,32298365,4724943,25097645,99890246,-0.14,35492696,66270147,50151460,33686796,35492696,63257210,62550900,70242813,109103211,0,273999706,390687517,9100166,16392460.22,5593845,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,FALSE,TRUE
Burbank,Los Angeles,91502,Low,76.69,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.56,0.4,5.91,0.1,0.69,0.75,0.07,0.11,0.08,0.5,90555000,15319000,211285000,527419000,0.18,89386000,159874000,65768000,68876000,89386000,142513000,152230000,172195000,358222000,6980000,1131715631,1508106094,35792016,60543604.62,39713000,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Burlingame,San Mateo,94010,Low,75.71,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.56,0.66,9.88,0.12,0.54,0.73,0.05,0.08,0.27,0.31,46523227,4706513,90846169,137748668,0.14,41683853,74525410,33045683,31975603,41683853,68042750,71722983,84537342,65463970,8510000,183691721,253314204,6462319,11275331.41,37833135,0.0504,0.086,83.8788958222688,713617,71218,452950,77245,39.3,0.4915736162122817,0.439,7.77728109055698e-4,FALSE,TRUE
Calabasas,Los Angeles,91302,Low,85.07,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.8,0.87,8.75,0.04,0.13,0.81,0.02,0.03,0.04,0,13030142,1488481,41815700,48007882,0.02,18986549,23678512,18392613,18725096,18986549,21630652,23245616,23438286,6374629,0,29850495,36975454,950160,1620159.47,1906919,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,TRUE,TRUE
Calexico,Imperial,92231,High,34.61,0.6502365004640552,0.44530000000000003,0.3225,108,-0.02,1.07,0,0.04,0.54,0.75,0.05,0.09,0.71,0,0,2442027,51062755,47529387,0.62,-321034,17630377,-3080693,-1776596,-321034,17241753,17500150,18540943,25741299,0,81490083,109148319,2145365,4355662.3,33880635,0.2002,0.28300000000000003,39.79049811636668,172008,27886,72584,35233,31.9,0.513654282505558,0.132,6.278777731268313e-4,FALSE,FALSE
Calimesa,Riverside,92320,Low,95.28,0.6519685051631071,0.5115,0.4153,1403,0.68,0.04,2.73,0.23,0.05,0.8,0.01,0.01,NA,NA,5213661,1906950,570960,13893483,0.63,3945599,5828837,1521443,2135796,3945599,5133371,5578945,7603276,760407,0,3530229,4390496,99636,193004.8,NA,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,TRUE,FALSE
Calipatria,Imperial,92233,Moderate,53.83,0.6502365004640552,0.44530000000000003,0.3225,108,-0.06,0.02,-5.35,-0.1,0.17,0.85,0.02,0.04,NA,NA,-306341,57247,91046,4300700,0.04,-114957,1954493,-126013,-103392,-114957,2397475,2048150,1942928,735223,0,4427285,5190836,86471,166975.5,NA,0.2002,0.28300000000000003,39.79049811636668,172008,27886,72584,35233,31.9,0.513654282505558,0.132,6.278777731268313e-4,TRUE,FALSE
Calistoga,Napa,94515,Moderate,68.74,0.7790353151347466,0.6576000000000001,0.275,147,0.47,0.68,9.09,0.04,0.38,0.78,0.09,0.07,0.09,0,5977674,657950,16393366,24069692,-0.03,7116007,15187165,7476508,6956983,7116007,12342330,12738465,13286601,9259223,0,31187747,40151544,2073849,1688460.58,2139488,0.0522,0.087,58.99447811945594,135280,46018,88602,46726,39.7,0.4994982971399275,0.312,0.0010866351271437019,FALSE,TRUE
Camarillo,Ventura,93010,Low,93.92,0.8138416978089583,0.6566,0.43520000000000003,602,1.56,0.23,24.25,0.04,0.26,0.75,0.03,0.04,0,0.89,65503524,2701413,25895852,113006895,0.04,62242876,39844167,58106753,62112044,62242876,40497060,40274486,43676301,29397984,0,87843632,117806755,3119397,4844443.84,533373,0.060399999999999995,0.10099999999999999,61.85966164906211,815130,44370,427303,48872,36.2,0.49677555689957953,0.312,7.38532504017764e-4,FALSE,FALSE
