city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Antioch,Contra Costa,555,94531,Low,73.93,0.64,0.13,7.41,-0.03,0.94,0.7,0.08,0.14,0.41,0.19,111578,0.042,33737318,4550269,15079248,119231309,0.24,34471225,54148913,22679966,30795315,34471225,57146681,52854264,54696347,112660918,0,259896312,368682853,9710252,16351934.72,48913478,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Apple Valley,San Bernardino,220,92307,Moderate,57.44,0.06,0.15,0.89,0.11,0.19,0.72,0.02,0.03,0.04,0,73349,0.049,1164253,1302510,10892253,71339339,-0.37,1770927,29266444,6683436,1766647,1770927,23081714,23743085,28335812,13908768,0,35490108,49097036,1384661,2315617.58,2651358,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Arcadia,Los Angeles,464,91066,Moderate,59.39,0.49,0.26,13.04,0,1.72,0.65,0.13,0.22,0.2,0.11,58385,0.035,27775761,2129756,22029596,85946351,-0.02,30055362,61126092,31155339,30338575,30055362,59396995,59042619,59565925,147874349,0,266062728,411285829,11423038,19030191.98,17516353,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Arcata,Humboldt,296,95521,Low,72.85,0.45,0.11,2.96,0.05,0.63,0.75,0.04,0.09,0.08,0.15,18246,0.056,7420642,2511087,3976764,35968049,0.1,7226115,16195269,6092009,7363248,7226115,14758393,14630461,16039118,20376398,2194000,62346818,82789259,1325484,3165903.55,2772195,0.795584776,0.264,0.0718,35.8654123,132657,31084,6269,70605,34145,37.1,35.9,38.6,0.502105881,0.497894119
Arroyo Grande,San Luis Obispo,146,93420,Low,73.47,0.54,0.09,9.37,0.04,0.77,0.72,0.08,0.11,0.19,0,18037,0.026,9296826,991915,2512995,27783905,0.25,10276752,18899882,6592162,8313896,10276752,16041132,16292036,17337237,21434067,0,59297830,82637519,2342517,3163158.1,5202209,0.832074303,0.315,0.0548,47.20735251,266358,39692,9659,154624,39377,39.4,37.4,41.5,0.511795488,0.488204512
Arvin,Kern,60,93203,Moderate,52.46,0,0.62,0,0.09,0.17,0.8,0.02,0.04,NA,NA,21446,0.077,0,3231028,9262003,14867486,0.34,484,6414433,-255875,-338038,484,5386927,5727803,6386388,2462471,0,10144590,12622617,272082,651863.62,NA,0.657543308,0.149,0.097,52.20654335,818327,29257,3963,364533,41733,30.7,30.1,31.3,0.515831359,0.484168641
Atascadero,San Luis Obispo,206,93422,Moderate,66.18,0.5,0.54,6.5,0.04,0.86,0.73,0.09,0.13,0.01,0,30257,0.027,10277416,1580542,16666332,30999836,0.07,11402478,22606004,10100896,9895669,11402478,21890771,22097886,23556455,26808749,0,71939702,98461546,2685953,4081164.01,192103,0.832074303,0.315,0.0548,47.20735251,266358,39692,9659,154624,39377,39.4,37.4,41.5,0.511795488,0.488204512
Atherton,San Mateo,55,94027,Low,86.73,1.36,0.03,4.68,0.09,0.74,0.74,0.06,0.11,0.18,0.61,7178,0.025,21671331,4633033,646267,21804451,0.16,17288313,12679280,13305842,13006525,17288313,14108498,15301758,16647068,16121566,0,46605896,62802279,1288841,2505588.75,4010576,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Atwater,Merced,143,95301,High,29.5,-0.11,1.86,0.26,0.05,0.66,0.67,0.07,0.06,0.57,0,29415,0.079,981142,3732487,77383279,41640139,0.27,-1497015,13421742,-2862725,-2388471,-1497015,11754202,11881186,12900929,27538451,0,52816016,79363010,2892846,2706130.85,23653000,0.692389903,0.125,0.1188,29.54194972,250538,26936,3459,90756,35639,29.6,28.7,30.5,0.50328586,0.49671414
Auburn,Placer,102,95603,Moderate,60.69,0.44,0.83,3.57,0.02,0.94,0.74,0.06,0.13,0.07,0,14078,0.035,4823808,1350781,18151700,21894526,-0.04,5383812,12131967,5823198,5796166,5383812,11332517,11867231,11711887,17388071,3160000,50410039,67832426,1399915,2846738.74,1638555,0.831388887,0.347,0.0606,46.07508709,337568,47986,9735,198859,45005,40.3,39,41.4,0.488333448,0.511666552
Avalon,Los Angeles,134,90704,Moderate,62.91,0.17,0.21,3.59,0,0.37,0.75,0.03,0.06,0.27,0,3712,0.004,2071865,576539,5813413,27768649,-0.47,2058271,12066395,7317587,3604944,2058271,12271213,9900785,11737274,10342526,0,29691204,39665015,874164,1736436.72,7376328,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Avenal,Kings,65,93204,Low,76.88,1,0.62,11.73,-0.02,0.27,0.78,0.05,0.07,1.16,0,13218,0.125,5445081,464211,6567975,10512039,-0.13,5214059,5199608,6769890,5765272,5214059,4573740,3927414,4305130,2880505,0,9884141,12697944,559335,733727.56,12147150,0.634274693,0.124,0.1036,34.93159768,152027,25392,3690,58713,40187,31.1,31.8,30,0.56440627,0.43559373
Azusa,Los Angeles,436,91702,Moderate,54.74,0.18,0.72,1.78,0.01,0.66,0.74,0.06,0.09,0.35,0,49811,0.044,9843848,5537360,83783401,116888698,0.29,8175057,44849887,5833733,10424782,8175057,39238567,40759058,39447907,76657050,0,214273198,290065873,6894986,10999413.53,41175085,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Bakersfield,Kern,1873,93307,Moderate,56.58,0.2,0.57,3.8,0.03,0.94,0.69,0.06,0.13,0.17,0.44,381714,0.056,28189169,7421020,266414581,467155043,-0.03,39497463,198388548,41821284,39243163,39497463,188608894,186789368,198092848,437509411,0,934622175,1363499688,29455559,59864348.18,78408342,0.657543308,0.149,0.097,52.20654335,818327,29257,3963,364533,41733,30.7,30.1,31.3,0.515831359,0.484168641
Baldwin Park,Los Angeles,389,91706,Moderate,64.81,0.49,0.41,9.97,0.1,0.99,0.72,0.05,0.06,0.8,0,75572,0.049,14385032,1443341,22295254,53782556,0.02,15501574,31359998,15223945,13750999,15501574,26302068,27306799,31428916,53482903,0,142926675,197180988,2751737,3142057.57,42871182,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Banning,Riverside,236,92220,Low,78.69,0.72,0.94,4.11,-0.04,0.57,0.69,0.05,0.08,NA,NA,31235,0.051,13134555,3198678,66056374,69961732,0.01,12178195,16967514,12199544,13255127,12178195,16148892,15583618,15164729,40084731,0,88025772,128115704,3462445,5486731.86,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Barstow,San Bernardino,215,92311,Moderate,60.29,0.43,0.48,2.46,0.02,0.93,0.78,0.11,0.12,0.46,0.08,23944,0.056,3333483,1357428,17994480,37180163,-0.13,9163739,21473967,12063100,9222550,9163739,17876601,18169988,18327134,34653410,0,123274866.9,157438773.9,4238158,4464614.63,16984146,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Beaumont,Riverside,202,92223,Low,72.09,0.33,1.04,2.92,0.11,0.18,0.77,0.02,0.04,NA,NA,49126,0.033,8267378,2830854,98969406,95483467,1.61,10315492,31076898,-4296822,5034141,10315492,26116266,28055975,31849709,17018262,0,55049849,71833182,2359341,3522488.86,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Bell,Los Angeles,197,90201,Moderate,60.99,0.91,1.75,12.61,0.03,1.33,0.69,0.08,0.17,0.48,0,35612,0.05,14686689,1165005,49883308,28473182,-0.11,15340907,16834001,19710129,20467803,15340907,13580013,13856722,14298238,36064660,1890000,80602431,116737079,2236883,4887147.47,13534634,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Bell Gardens,Los Angeles,271,90201,Moderate,56.31,0.49,0.3,8.02,0.05,0.96,0.73,0.1,0.15,1.45,0,42192,0.046,15235144,1898747,12052879,40749321,0.03,15807322,32067927,15074042,17207770,15807322,28226216,33762890,29890601,39199075,0,102835602,141745336,4145318,6137021.27,58996347,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Bellflower,Los Angeles,241,90706,Low,74.09,0.4,0.46,5.5,0.03,0.24,0.78,0.02,0.04,0.1,0.45,76906,0.052,10429160,1895675,25731393,55702505,-0.04,12197416,30763009,13344192,11885694,12197416,28391642,28361196,30012089,13297248,0,45449045,58547317,1097439,2181919.09,5696575,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Belmont,San Mateo,222,94002,Low,74.72,0.52,0.6,11.82,0.1,0.58,0.72,0.06,0.09,0.16,0.4,27075,0.023,11250415,951886,39015748,64633631,0.23,12563014,24082248,8386603,10751372,12563014,21673539,22379562,25907745,37312079,0,92888424,129282538,3926990,5502984.57,10177897,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Belvedere,Marin,28,94920,Low,77.49,0.5,0.31,6.13,0.09,0.5,0.97,0.03,0.05,0.13,0,2109,NA,3850031,628162,2869755,9348886,0.14,3550424,7067914,2793225,3520626,3550424,6089738,6591192,7262596,4645998,0,21736120,22496484,255516,447883.95,1229000,0.858973581,0.546,0.047,67.96443611,248398,90003,30928,181971,56427,44.5,43,46,0.491551411,0.508448589
Benicia,Solano,461,94510,Moderate,70.79,0.61,0.64,20.32,0.11,1.04,0.73,0.07,0.14,0.05,0,28282,0.03,21657220,1065957,44449087,69827453,0.28,23261888,37898837,14313844,17244481,23261888,36376990,35009975,43930155,64734021,7701537,177063614,240933172,4756153,9869891.45,3711026,0.695694573,0.242,0.0662,45.98817523,408972,38030,6022,178995,46543,36.9,35.6,38.2,0.498845998,0.501154002
Berkeley,Alameda,2311,94704,Moderate,60.34,0.47,0.63,2.37,0.06,1.44,0.67,0.1,0.18,0.23,0.29,121663,0.029,108057563,45649193,257379297,406374715,0.16,79987497,170905473,61429202,59328132,79987497,165400130,170392751,185351536,586777525,0,1197117715,1781477682,40471505,73661467.5,92840362,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Beverly Hills,Los Angeles,1207,90210,Low,80.77,0.85,0.65,7.23,0.08,0.65,0.71,0.06,0.09,0.27,0,34051,0.039,211348257,29215643,268038918,412050532,0.11,201389285,236840582,166584812,172603627,201389285,229253069,239727254,264499991,266270457,0,628455125,883740845,23372339,38016412.17,109926000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Big Bear Lake,San Bernardino,118,92315,Low,74.57,0.49,0.55,10.86,0.08,0.69,0.7,0.08,NA,NA,NA,5271,0.015,6249366,575424,25229326,45587419,0.06,7386870,14929360,6560805,6454315,7386870,12380318,14025659,14270631,25076254,6357716,58170818,83247072,3456348,NA,NA,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Biggs,Butte,14,95917,Low,83.22,1.57,1.32,13.18,0.16,0.12,0.78,0.01,0.02,0.02,0,1716,0.029,1116450,84713,7614100,5777185,0.67,1104829,704625,429548,524399,1104829,528365,619510,714568,697185,0,2380315,3060074,67459,122215.65,118409,0.76934302,0.24,0.0816,33.56159774,219034,31896,5953,103874,35124,37.2,35.2,39.3,0.495140909,0.504859091
Bishop,Inyo,158,93514,Moderate,70.95,0.69,0.32,7.85,0.01,1.33,0.71,0.1,0.14,0.58,0.3,3728,0.033,4020545,512097,3389378,10593692,0.2,4650402,6709836,3282624,4293149,4650402,6359954,6446329,6428897,13924373,181408,34380811,48370631,1086435,1461708.88,6176225,0.788288634,0.21,0.0606,56.68255268,18318,42667,8187,10499,36114,45.6,44.5,46.6,0.504367519,0.495632481
Blue Lake,Humboldt,36,95525,Low,86.7,1.31,0.1,10.46,0,0.44,0.7,0.04,0.06,0.06,0,1258,0.035,1134082,108381,223303,2349080,0.04,1171600,897175,1097174,1162842,1171600,834510,929533,823617,1032065,0,2426029,3461524,92753,132867.84,136097,0.795584776,0.264,0.0718,35.8654123,132657,31084,6269,70605,34145,37.1,35.9,38.6,0.502105881,0.497894119
Blythe,Riverside,112,92225,High,31.3,0.07,1.13,0.43,0.03,1.18,0.72,0.09,0.16,0.62,0,19964,0.047,377105,874345,19162119,16913365,4.26,696074,9491141,-225209,85514,696074,8040344,7955167,8518676,19992975,0,49285918,68850069,1594880,2633360.39,10552770,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Bradbury,Los Angeles,9,91008,Low,95.74,1.22,0,19.95,-0.05,0.03,0.94,0.01,0.02,NA,NA,1079,0.015,2831166,141948,0,2194375,-0.08,2724298,2233102,3261841,3332558,2724298,1803296,1788547,1624842,76419,0,1012289,1079718,14171,33067.11,NA,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Brawley,Imperial,257,92227,Moderate,45.69,0.02,0.46,0.67,0.01,1.05,0.92,0.02,0.05,0.11,0,26172,0.146,571810,857160,17610442,38260982,-0.57,671653,31826289,3609872,1753764,671653,14028757,13972494,14207428,24015175,16310000,81070376,88176325,925723,2032799.01,4153966,0.6502365,0.132,0.2002,42.24373947,167917,28182,3104,74053,34148,31.9,31,33.2,0.51364824,0.48635176
Brea,Orange,521,92821,Moderate,67.36,0.49,0.42,7.53,0.02,0.81,0.69,0.06,0.11,0.17,0,43484,0.029,32381725,4302714,65066285,153105936,-0.02,27841764,56985040,29057311,25393681,27841764,56337883,56983439,58020291,124633005,0,277889990,402752944,9006661,16633954.33,25865288,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Brentwood,Contra Costa,458,94513,Low,73.47,0.55,1.03,5.42,0.05,0.35,0.77,0.04,0.05,0.26,0.19,63760,0.034,33632681,6205967,152106604,147189408,0.13,28386311,51726903,22386430,23227495,28386311,42257244,45179595,46550688,52074298,0,159449137,206890040,5605465,7991389.2,38225000,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Brisbane,San Mateo,167,94005,Moderate,67.09,0.44,0.68,3.72,0.1,0.71,0.75,0.06,0.11,0.18,0.17,4683,0.024,7763590,2086503,21925008,32095179,0.06,8902290,20121665,7966140,8954790,8902290,16357706,18461207,19775078,21118306,1726000,63332743,84404135,1906264,3457759.26,5832023,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Buellton,Santa Barbara,36,93427,Low,90.46,1.31,0.01,21.15,0.04,0.18,0.77,0.02,0.03,0.14,0,5090,0.017,7475802,353401,167330,12244104,0.12,8311826,6364066,6733906,6939241,8311826,7385968,6863196,7805302,2153367,0,7127793,9231408,219633,385257.66,1709564,0.737632461,0.315,0.0534,53.01265814,415859,45327,13688,258059,44000,33.6,32.3,35.1,0.501978084,0.498021916
Buena Park,Orange,538,90622,Moderate,58.3,0.35,0.23,6.72,0.01,1.2,0.71,0.09,0.17,0.06,0.23,82187,0.032,32993286,4913334,21659552,92196088,-0.23,33686796,96787955,57402294,50151460,33686796,61649187,63257210,62550900,108528234,2002060,269390637,378492502,7920464,15340740.42,5782282,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Burbank,Los Angeles,1752,91502,Moderate,69.03,0.43,0.43,4.38,0.03,0.76,0.75,0.06,0.11,0.08,0.47,103349,0.052,72136000,16460000,216771000,505447000,0.07,68876000,159823000,60648000,65768000,68876000,145295000,142513000,152230000,376165000,8805000,1093968349,1452189923,32106196,56908831.82,39798000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Burlingame,San Mateo,435,94010,Moderate,67.37,0.45,0.79,9.11,0.04,0.61,0.73,0.05,0.08,0.32,0.27,30434,0.022,34255174,3758303,96326813,122530890,0.04,31975603,71817875,29641334,33045683,31975603,66155143,68042750,71722983,65912338,8970000,178219214,243683608,5717860,10353272.17,38912484,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Calabasas,Los Angeles,278,91302,Low,84.04,0.81,0.98,8.86,0.03,0.15,0.81,0.02,0.03,0.04,0,23867,0.028,9739073,1098885,43000633,43763977,0.01,18725096,23223706,18665422,18392613,18725096,21980332,21630652,23245616,6611116,0,27277728,33652068,861145,1511460.1,1753132,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Calexico,Imperial,158,92231,High,32.26,-0.11,1.04,0,0.03,0.68,0.75,0.06,0.1,0.81,0,40072,0.317,0,3650206,40253771,38667330,0.33,-1776596,16194224,-4042178,-3080693,-1776596,16454161,17241753,17500150,26132804,0,79236375,104977195,2210454,3890491.49,31396746,0.6502365,0.132,0.2002,42.24373947,167917,28182,3104,74053,34148,31.9,31,33.2,0.51364824,0.48635176
California City,Kern,176,93505,Low,90.92,0.76,0.27,4.36,0.3,0.61,0.71,0.07,0.08,NA,NA,14167,0.162,2794362,641435,6819880,25408679,0.21,5042343,6620422,3518555,3786890,5042343,3770190,4249242,6211006,15447887,0,36667362,51647623,1795425,2097396.07,NA,0.657543308,0.149,0.097,52.20654335,818327,29257,3963,364533,41733,30.7,30.1,31.3,0.515831359,0.484168641
Calimesa,Riverside,36,92320,Low,83.26,0.43,0.07,1.93,0.07,0.1,0.82,0.01,0.02,NA,NA,8944,0.044,3290498,1701717,551782,7666024,0.22,2135796,5015452,1480884,1521443,2135796,4918196,5133371,5578945,801322,0,3358792,4119147,81270,164924.42,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Calipatria,Imperial,43,92233,Moderate,54.43,-0.05,0.03,-0.25,-0.03,0.24,0.85,0.02,0.05,NA,NA,7418,0.236,-35804,145163,112665,3396860,0.44,-103392,2025529,-401621,-126013,-103392,2185481,2397475,2048150,824557,0,4150438,4887937,54659,159646.33,NA,0.6502365,0.132,0.2002,42.24373947,167917,28182,3104,74053,34148,31.9,31,33.2,0.51364824,0.48635176
Calistoga,Napa,129,94515,Moderate,68.21,0.48,0.73,6.92,0.03,0.44,0.75,0.08,0.07,0.1,0,5300,0.04,5554921,803160,17501538,24067791,-0.03,6956983,14494759,7310881,7476508,6956983,12090051,12342330,12738465,10515516,0,27803690,37063618,2015336,1639291.32,2314284,0.779035315,0.312,0.0522,60.9191233,134093,47613,12170,91679,46528,39.7,38.2,41,0.49939187,0.50060813
Camarillo,Ventura,195,93010,Low,93.02,1.69,0.28,18.69,-0.01,0.34,0.74,0.02,0.04,0,1.01,68883,0.029,61219227,3275656,26861313,96674897,0.03,62112044,36785876,59058799,58106753,62112044,40455639,40497060,40274486,32394471,0,84043621,113441605,1742473,4299163.58,NA,0.813841698,0.312,0.0604,62.91647579,806353,45937,8871,441320,48206,36.2,34.8,37.7,0.496732733,0.503267267
Campbell,Santa Clara,501,95008,Moderate,65.61,0.49,0.32,4.75,0.01,1.03,0.72,0.1,0.15,0.09,0.35,42243,0.024,27037378,5691015,18063170,56496571,-0.06,26480764,53592646,30222212,28924105,26480764,48417702,48011214,49686816,58035187,0,147351604,203628336,5787217,8474781.12,5220264,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Canyon Lake,Riverside,17,92587,Low,91.34,0.88,0.04,8.33,0.04,0.07,0.78,0.01,0.01,0.02,0,11251,0.022,4423485,530800,212465,5757819,0.12,4239456,4842891,3382765,3991498,4239456,4714788,4826852,5090849,380550,0,1341381,1716394,38386,72976.73,134345,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Capitola,Santa Cruz,144,95010,Moderate,62.24,0.41,0.17,4.27,0,1.2,0.73,0.09,0.18,0.03,0.26,10073,0.015,6211249,1452999,3259913,18641037,0.05,6696684,16332357,6160826,6922627,6696684,15734315,15553861,15715446,22355266,0,58968717,81332308,1770027,3289014.04,604437,0.82952112,0.375,0.0732,42.67013878,256520,46909,11645,142699,42775,36.9,35.6,38.1,0.498940476,0.501059524
Carlsbad,San Diego,1456,92008,Low,88.44,0.86,0.09,18.11,0.04,0.64,0.76,0.07,0.09,0.01,0.84,115518,0.031,123268115,6808147,26396944,284033063,-0.04,127425622,148155153,138095555,117629422,127425622,145085076,148780367,155643413,181345532,0,519644297,682665442,19742095,24360704.93,2491621,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Carmel-by-the-Sea,Monterey,104,93921,Moderate,62.57,0.28,0.26,6.36,0.1,0.88,0.74,0.05,0.12,0.14,0,3815,0.002,6976284,1096171,6892427,26277050,0.08,8006394,28183697,7212868,9315496,8006394,16366146,19420952,19367073,19908483,3220000,57241767,77163031,1317381,3024192.55,3650439,0.67757667,0.232,0.0836,50.36278083,406022,40587,9460,223750,42425,32.9,32.2,33.9,0.514220938,0.485779062
Carpinteria,Santa Barbara,118,93013,Low,81.66,0.72,0.01,10.28,0.03,0.52,0.74,0.03,0.07,0.15,0,13436,0.033,8495120,826318,118600,14732424,-0.03,7821728,10795464,8262888,8014082,7821728,9302116,9060707,9840036,7595683,0,21859433,29370916,510893,1084480.94,2276447,0.737632461,0.315,0.0534,53.01265814,415859,45327,13688,258059,44000,33.6,32.3,35.1,0.501978084,0.498021916
Carson,Los Angeles,1093,90745,Moderate,68.63,0.44,0.06,2.89,0.14,0.91,0.66,0.07,0.11,0.52,0.23,91626,0.049,37289747,12914120,6694470,112064605,0.49,34729533,78249272,16936600,18445230,34729533,74176750,76982328,94502017,102185046,0,192976325,292683017,7471529,12781026.5,58558306,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Cathedral City,Riverside,224,92234,Moderate,56.9,0.53,1.96,6.34,0.09,0.46,0.81,0.06,0.09,0.84,0,54793,0.041,18956233,2989411,152398034,77806730,0.07,22906359,43038751,20016152,21996946,22906359,36847365,38050693,43631020,35969049,0,144674490,179677146,4569807,6817413.34,65700000,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Ceres,Stanislaus,263,95307,Moderate,62.88,0.26,0.28,0.98,0.07,0.66,0.67,0.09,NA,NA,NA,48540,0.077,3808057,3891889,14111893,50114931,0.02,5236011,19773947,5184004,4519220,5236011,17653444,17462201,19853059,33114847,0,68370701.85,101742115.9,4265800,NA,NA,0.712596181,0.163,0.1042,35.30845605,509032,31117,4392,223665,39473,32.9,31.7,34.1,0.494678814,0.505321186
Cerritos,Los Angeles,637,90703,Low,87.78,0.93,0.14,7.73,0.02,0.76,0.72,0.07,0.09,0.01,0.99,50288,0.039,68563155,8864419,13576082,93655078,-0.07,67543417,72819616,78783394,65590515,67543417,69956211,70710711,72956309,71386627,0,178698143,246517023,6165151,8672172.68,490674,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Chico,Butte,456,95927,Moderate,50.92,0.23,0.52,3.48,0.05,1.37,0.68,0.11,0.18,0.1,0,94342,0.039,8416547,2415383,50400101,97562895,0.38,12060759,53076216,6345776,8752281,12060759,49037682,50963449,54023987,134093025,0,279964107,411595585,10517178,18024526.79,9808659,0.76934302,0.24,0.0816,33.56159774,219034,31896,5953,103874,35124,37.2,35.2,39.3,0.495140909,0.504859091
Chino,San Bernardino,679,91710,Moderate,50.08,-0.25,0.08,0.04,0.12,0.45,0.94,0.04,0.04,0.08,0,91356,0.034,1108560,24697252,15604771,197978826,-0.69,-17564262,71618953,41352805,43048027,-17564262,63568465,70376630,78771298,88255481,0,318109612,337072081,8078551,7635195.42,16474497,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Chino Hills,San Bernardino,320,91709,Low,87.41,0.94,0.25,24.37,-0.11,0.28,0.69,0.05,NA,0.03,0,83239,0.027,44394524,1821489,29661105,117652541,0.29,39218994,41932239,24114124,35931670,39218994,58221693,46005901,45682963,33213659,0,74413233.42,107626892.4,5556074,NA,3697968,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Chowchilla,Madera,89,93610,Moderate,64.55,0.48,2.05,14.58,0.04,0.64,0.7,0.06,0.04,NA,NA,18709,0.063,2338973,160387,34542786,16881086,0.36,4279571,8905885,2323201,3287330,4279571,6388230,6926794,6940022,10793945,0,25192807,35808762,1034227,602112.27,NA,0.652612116,0.139,0.0914,31.93317561,148359,26549,3880,59936,36146,33,31.4,34.3,0.481768468,0.518231532
Chula Vista,San Diego,1434,91910,Moderate,67.1,0.56,0.72,12.41,0.1,1.03,0.7,0.09,0.15,0.05,0,270819,0.037,76248562,6141697,232218815,323840051,1.04,100527166,180681309,30030972,34480092,100527166,136946308,150273157,163447802,334868079,0,745521335,1067041666,28267513,47119126.51,14699539,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Citrus Heights,Sacramento,264,95621,Moderate,61.97,0.17,0.08,1.21,0.01,0.31,0.83,0.06,0.1,0.01,0.74,87707,0.038,2519666,2088569,3477782,45734705,-0.42,4873439,29398736,18762991,5660882,4873439,28509764,29329128,28637422,14224447,0,66548859,80574697,2803002,4368478.98,603172,0.735014398,0.279,0.0674,52.51903347,1394438,39207,6314,801064,51750,34.8,33.5,36.1,0.489708822,0.510291178
Claremont,Los Angeles,287,91711,Moderate,50.75,0.21,0.39,1.67,0.04,1.19,0.71,0.09,0.15,0.05,0,36370,0.042,6544396,3920457,18143336,46925717,-0.21,6112602,28549762,9797661,8412230,6112602,24216639,25218319,26050742,51683826,4065000,122382547,172949682,4188508,7026031.8,2577522,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
